,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.5139861,0.6300192,0.38812676,0.14093584
cluster_2,0.5139861,1.0,0.651508,0.57402635,0.16652344
cluster_3,0.6300192,0.651508,1.0,0.58788157,0.17238939
cluster_4,0.38812676,0.57402635,0.58788157,1.0,0.38336712
cluster_5,0.14093584,0.16652344,0.17238939,0.38336712,1.0
