ROI01_188Vx___58__10__8_,ROI02_423Vx___18__94__8_,ROI03_66Vx__24__96__2_,ROI04_97Vx___46_32__2_,ROI05_195Vx___50__38_2_,mean
-0.192859670266192,0.247720447442608,0.0216647296417222,-0.214458518500737,-0.343153077822465,1
-0.0271625910226771,0.137682047957794,-0.0353797882950554,-0.270503741937684,0.0873738967141925,1
0.270060231244102,0.0534941852009545,0.212853821239674,0.0692360577963835,0.0184895112800848,1
0.129254796945966,0.0192598660698603,0.154117397413674,0.156895236477025,0.277757400818742,1
0.24134144334722,0.194464034873147,0.0512616685732748,0.346429690296195,0.797787753435282,1
0.255837546968634,0.73480821800711,0.596683892562534,0.27422322985745,0.135433281320804,1
0.0908095111505084,0.207233060764308,0.257146222291119,0.306476297125835,0.212080126814544,1
0.303989005245348,0.587828332298473,0.59160121598027,0.852608712370863,0.621989231996047,1
0.271904661777142,0.29004916592598,0.129621602788878,0.612426946765369,0.633166326123935,1
0.313464327732676,0.660540524310923,0.574974761316271,0.30291112177326,0.454984779006396,1
0.375577288144763,0.13982122788334,-0.215243068396706,0.471724656285699,0.782652852397699,1
0.091906377228294,0.0960235745589228,0.516697429258122,0.187180421996823,0.17871492532058,1
0.42778836004436,0.296655633099857,0.239888201157252,0.363370641979591,0.302156497690922,1
-0.0654355124960544,0.16643750411866,0.245495143092491,0.199406631509341,0.0050066342875839,1
-0.519709394650256,-0.512414993229487,-0.664498872829206,-0.543474792896472,-0.704827106304658,1
0.924161092398014,0.782632967505613,0.648161694407463,0.935840658613087,1.40979868937761,1
0.131805649545524,0.112915482623728,-0.166016608360223,-0.149110320297828,0.00151751889751699,1
0.18437789323767,0.580181817583581,0.301162673216878,0.360044435895595,0.177675139843128,1
0.467528397732593,0.377384452743733,0.354855888382052,0.14910691397576,0.0848131736415104,1
0.450991493035504,0.54548566294812,0.201857096035824,0.402723417223729,0.209870361665694,1
0.150193875841301,0.708396146916641,0.581745445276752,0.433378096333868,0.245461648282332,1
0.300862704027206,0.368301267582917,0.135886823349265,0.328876500661226,0.176355025549539,1
0.387436556084914,0.235600805923675,0.212189194153656,0.619435730783902,0.626458417968108,1
0.164430147572544,0.218510739579255,0.111746207959103,0.272440753536318,0.0525439879337612,1
0.528974106891992,0.132004306472213,-0.118491008909504,0.312147696560114,0.198174463913967,1
0.0575295588083812,0.43334583300397,0.320178003473715,0.215883847561271,0.129162037433483,1
0.638901819732595,0.620865069726046,0.182821687472769,0.496107272515745,0.526467068846791,1
0.518641816333253,0.456362477278042,0.421506192609244,0.425692425099845,0.531802156338325,1
0.727373841595142,0.587408805428949,0.600029268725352,0.907423635119015,0.89354834648279,1
-0.143803139409159,0.297087875097491,0.107957943362029,-0.292543069521906,-0.264910908119801,1
0.336929859316095,0.487335643253287,0.232483424091091,0.215125307143119,0.262904674015366,1
0.353706268791823,0.132137659623744,0.164662257479821,0.200833046832842,0.257988425668998,1
0.364253234395638,0.43350090470438,0.476221287792379,0.593416793598342,0.418473226099442,1
0.64498375657391,0.339025538695435,0.382667671832623,0.358493502400623,0.221381253118698,1
