,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.48621005,0.5850876,0.3059414,0.2780244,0.9526394,0.46514875,0.5924668,0.24391125,0.27774164
bigrams_clusters:cluster_2,0.48621005,1.0,0.28871867,0.2630868,0.16610795,0.5539701,0.86309606,0.3453475,0.27369058,0.33222315
bigrams_clusters:cluster_3,0.5850876,0.28871867,1.0,0.12218715,0.08604212,0.58575183,0.18218091,0.7216132,0.23617329,0.16765028
bigrams_clusters:cluster_4,0.3059414,0.2630868,0.12218715,1.0,0.68622607,0.27613294,0.22344916,0.19222857,0.40119147,0.70767146
bigrams_clusters:cluster_5,0.2780244,0.16610795,0.08604212,0.68622607,1.0,0.23834017,0.20526056,0.25106427,0.21025613,0.29118586
visual_clusters:cluster_1,0.9526394,0.5539701,0.58575183,0.27613294,0.23834017,1.0,0.52054614,0.64232355,0.30520502,0.29795888
visual_clusters:cluster_2,0.46514875,0.86309606,0.18218091,0.22344916,0.20526056,0.52054614,1.0,0.2785064,0.18801057,0.2606523
visual_clusters:cluster_3,0.5924668,0.3453475,0.7216132,0.19222857,0.25106427,0.64232355,0.2785064,1.0,0.36385354,0.14844246
visual_clusters:cluster_4,0.24391125,0.27369058,0.23617329,0.40119147,0.21025613,0.30520502,0.18801057,0.36385354,1.0,0.4107653
visual_clusters:cluster_5,0.27774164,0.33222315,0.16765028,0.70767146,0.29118586,0.29795888,0.2606523,0.14844246,0.4107653,1.0
