Cluster #,Centroid,Peak,Peak T-value,Extent,File Name
1,"[-42, -54, -13]","[-44, -50, -14]",12.14,444,cluster_1_sorted.nii
2,"[-48, 24, 15]","[-48, 30, -2]",10.6,761,cluster_2_sorted.nii
3,"[-56, -10, -7]","[-56, -12, -6]",9.36,94,cluster_3_sorted.nii
4,"[-56, -40, 4]","[-52, -38, 4]",8.99,278,cluster_4_sorted.nii
5,"[-30, -93, -8]","[-28, -94, -8]",8.47,21,cluster_5_sorted.nii
