,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.65908235,0.63902694,0.62862724,0.4536072,0.9621812,0.61876285,0.74311084,0.77545494,0.36999762
bigrams_clusters:cluster_2,0.65908235,1.0,0.75298446,0.46175995,0.3371217,0.6165416,0.97092897,0.5944564,0.6087236,0.24697001
bigrams_clusters:cluster_3,0.63902694,0.75298446,1.0,0.44060788,0.31794438,0.61256236,0.7225666,0.824457,0.58076113,0.33637956
bigrams_clusters:cluster_4,0.62862724,0.46175995,0.44060788,1.0,0.6727892,0.64164484,0.43263337,0.48798668,0.64863753,0.64229625
bigrams_clusters:cluster_5,0.4536072,0.3371217,0.31794438,0.6727892,1.0,0.4558748,0.28734568,0.31558347,0.42924726,0.35408714
visual_clusters:cluster_1,0.9621812,0.6165416,0.61256236,0.64164484,0.4558748,1.0,0.58240384,0.708078,0.74926484,0.3987703
visual_clusters:cluster_2,0.61876285,0.97092897,0.7225666,0.43263337,0.28734568,0.58240384,1.0,0.55923104,0.59156704,0.24885961
visual_clusters:cluster_3,0.74311084,0.5944564,0.824457,0.48798668,0.31558347,0.708078,0.55923104,1.0,0.6888911,0.3690919
visual_clusters:cluster_4,0.77545494,0.6087236,0.58076113,0.64863753,0.42924726,0.74926484,0.59156704,0.6888911,1.0,0.42771867
visual_clusters:cluster_5,0.36999762,0.24697001,0.33637956,0.64229625,0.35408714,0.3987703,0.24885961,0.3690919,0.42771867,1.0
