,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.61377895,0.58966815,0.29175088,0.20464422,0.95639294,0.5245829,0.65730286,0.5937776,0.1393459
bigrams_clusters:cluster_2,0.61377895,1.0,0.71806675,0.18321007,0.15787725,0.63682866,0.95175236,0.56349003,0.5441278,0.10971297
bigrams_clusters:cluster_3,0.58966815,0.71806675,1.0,0.2894936,0.16797006,0.6231401,0.65036947,0.8036948,0.50704527,0.2180794
bigrams_clusters:cluster_4,0.29175088,0.18321007,0.2894936,1.0,0.7223392,0.31301683,0.15864593,0.39996874,0.5157452,0.61646193
bigrams_clusters:cluster_5,0.20464422,0.15787725,0.16797006,0.7223392,1.0,0.18609843,0.14929546,0.2798867,0.3220498,0.44027543
visual_clusters:cluster_1,0.95639294,0.63682866,0.6231401,0.31301683,0.18609843,1.0,0.5445209,0.6762841,0.6313708,0.16952242
visual_clusters:cluster_2,0.5245829,0.95175236,0.65036947,0.15864593,0.14929546,0.5445209,1.0,0.4805253,0.47048673,0.053371992
visual_clusters:cluster_3,0.65730286,0.56349003,0.8036948,0.39996874,0.2798867,0.6762841,0.4805253,1.0,0.6442003,0.2614819
visual_clusters:cluster_4,0.5937776,0.5441278,0.50704527,0.5157452,0.3220498,0.6313708,0.47048673,0.6442003,1.0,0.3352866
visual_clusters:cluster_5,0.1393459,0.10971297,0.2180794,0.61646193,0.44027543,0.16952242,0.053371992,0.2614819,0.3352866,1.0
