,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.71771765,0.7570563,0.34575254,0.36609298,0.98411965,0.68078876,0.76479924,0.609833,0.03470553
bigrams_clusters:cluster_2,0.71771765,1.0,0.786083,0.3373285,0.31560388,0.73688346,0.94559896,0.5806181,0.52202773,0.14161633
bigrams_clusters:cluster_3,0.7570563,0.786083,1.0,0.2742791,0.258,0.76656866,0.7171573,0.71250236,0.45408767,0.13461478
bigrams_clusters:cluster_4,0.34575254,0.3373285,0.2742791,1.0,0.6848903,0.36579582,0.3546611,0.33241698,0.5330681,0.5401525
bigrams_clusters:cluster_5,0.36609298,0.31560388,0.258,0.6848903,1.0,0.3816307,0.3572956,0.32133138,0.48809662,0.23246996
visual_clusters:cluster_1,0.98411965,0.73688346,0.76656866,0.36579582,0.3816307,1.0,0.7020404,0.7702257,0.62603116,0.05087454
visual_clusters:cluster_2,0.68078876,0.94559896,0.7171573,0.3546611,0.3572956,0.7020404,1.0,0.5675114,0.5469078,0.19198024
visual_clusters:cluster_3,0.76479924,0.5806181,0.71250236,0.33241698,0.32133138,0.7702257,0.5675114,1.0,0.6980048,0.06427825
visual_clusters:cluster_4,0.609833,0.52202773,0.45408767,0.5330681,0.48809662,0.62603116,0.5469078,0.6980048,1.0,0.23455971
visual_clusters:cluster_5,0.03470553,0.14161633,0.13461478,0.5401525,0.23246996,0.05087454,0.19198024,0.06427825,0.23455971,1.0
