,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.7140492,0.5964565,0.35133797,0.46928114,0.9727905,0.775693,0.5618853,0.6905314,0.22748336
bigrams_clusters:cluster_2,0.7140492,1.0,0.5664165,0.33973518,0.36567667,0.7080299,0.93762404,0.5301047,0.65742177,0.24370126
bigrams_clusters:cluster_3,0.5964565,0.5664165,1.0,0.2421949,0.27872357,0.5842725,0.58098847,0.852362,0.6291662,0.16391714
bigrams_clusters:cluster_4,0.35133797,0.33973518,0.2421949,1.0,0.6043665,0.3657909,0.32020795,0.28724626,0.4998245,0.5472789
bigrams_clusters:cluster_5,0.46928114,0.36567667,0.27872357,0.6043665,1.0,0.47158965,0.38587233,0.23288828,0.429988,0.24103475
visual_clusters:cluster_1,0.9727905,0.7080299,0.5842725,0.3657909,0.47158965,1.0,0.7703974,0.5655753,0.6985976,0.24799897
visual_clusters:cluster_2,0.775693,0.93762404,0.58098847,0.32020795,0.38587233,0.7703974,1.0,0.5673696,0.68356866,0.22469176
visual_clusters:cluster_3,0.5618853,0.5301047,0.852362,0.28724626,0.23288828,0.5655753,0.5673696,1.0,0.73442435,0.16678876
visual_clusters:cluster_4,0.6905314,0.65742177,0.6291662,0.4998245,0.429988,0.6985976,0.68356866,0.73442435,1.0,0.33481258
visual_clusters:cluster_5,0.22748336,0.24370126,0.16391714,0.5472789,0.24103475,0.24799897,0.22469176,0.16678876,0.33481258,1.0
