,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.68066067,0.48922473,0.6728004,0.25390536
cluster_2,0.68066067,1.0,0.42190528,0.5489828,0.22323081
cluster_3,0.48922473,0.42190528,1.0,0.5419099,0.029590752
cluster_4,0.6728004,0.5489828,0.5419099,1.0,0.33697626
cluster_5,0.25390536,0.22323081,0.029590752,0.33697626,1.0
