,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.62285405,0.64528227,0.1599127,0.040920768,0.9572673,0.59509337,0.5787769,0.3766634,0.13282748
bigrams_clusters:cluster_2,0.62285405,1.0,0.5941695,0.1685697,0.078229465,0.6887099,0.95318335,0.4595792,0.50362015,0.20018932
bigrams_clusters:cluster_3,0.64528227,0.5941695,1.0,0.079938926,0.04640176,0.6514548,0.5423116,0.7265653,0.2800205,0.13045375
bigrams_clusters:cluster_4,0.1599127,0.1685697,0.079938926,1.0,0.7369423,0.21228127,0.15466657,0.16835257,0.3471727,0.4848624
bigrams_clusters:cluster_5,0.040920768,0.078229465,0.04640176,0.7369423,1.0,0.0863311,0.08199996,0.1017328,0.31552556,0.27789417
visual_clusters:cluster_1,0.9572673,0.6887099,0.6514548,0.21228127,0.0863311,1.0,0.6709718,0.62417895,0.44113395,0.1656375
visual_clusters:cluster_2,0.59509337,0.95318335,0.5423116,0.15466657,0.08199996,0.6709718,1.0,0.43496144,0.5101478,0.2045963
visual_clusters:cluster_3,0.5787769,0.4595792,0.7265653,0.16835257,0.1017328,0.62417895,0.43496144,1.0,0.37890506,0.16712213
visual_clusters:cluster_4,0.3766634,0.50362015,0.2800205,0.3471727,0.31552556,0.44113395,0.5101478,0.37890506,1.0,0.21503903
visual_clusters:cluster_5,0.13282748,0.20018932,0.13045375,0.4848624,0.27789417,0.1656375,0.2045963,0.16712213,0.21503903,1.0
