,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.639967,0.43404987,0.45607013,0.25662452,0.94972867,0.67669797,0.43766645,0.48977894,0.2589757
bigrams_clusters:cluster_2,0.639967,1.0,0.5899861,0.22502287,0.07276271,0.678187,0.9215313,0.40069243,0.3625535,0.0019945658
bigrams_clusters:cluster_3,0.43404987,0.5899861,1.0,0.13005094,0.11572997,0.4422661,0.48021927,0.5221422,0.24043009,0.14397056
bigrams_clusters:cluster_4,0.45607013,0.22502287,0.13005094,1.0,0.40002212,0.41620713,0.24498262,0.25367332,0.4663635,0.5622731
bigrams_clusters:cluster_5,0.25662452,0.07276271,0.11572997,0.40002212,1.0,0.21550933,0.119880825,-0.00573778,0.1621361,0.60418355
visual_clusters:cluster_1,0.94972867,0.678187,0.4422661,0.41620713,0.21550933,1.0,0.7151371,0.4879459,0.54059386,0.16080882
visual_clusters:cluster_2,0.67669797,0.9215313,0.48021927,0.24498262,0.119880825,0.7151371,1.0,0.3445132,0.38868988,0.009299733
visual_clusters:cluster_3,0.43766645,0.40069243,0.5221422,0.25367332,-0.00573778,0.4879459,0.3445132,1.0,0.40484866,0.111074425
visual_clusters:cluster_4,0.48977894,0.3625535,0.24043009,0.4663635,0.1621361,0.54059386,0.38868988,0.40484866,1.0,0.29643378
visual_clusters:cluster_5,0.2589757,0.0019945658,0.14397056,0.5622731,0.60418355,0.16080882,0.009299733,0.111074425,0.29643378,1.0
