,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.5430487,0.78136355,0.6087113,0.14038
cluster_2,0.5430487,1.0,0.27034187,0.48814613,0.19115981
cluster_3,0.78136355,0.27034187,1.0,0.49598163,0.13253458
cluster_4,0.6087113,0.48814613,0.49598163,1.0,0.5066081
cluster_5,0.14038,0.19115981,0.13253458,0.5066081,1.0
