,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.57489353,0.4087984,0.530928,0.009186209
cluster_2,0.57489353,1.0,0.53327554,0.42620295,0.02223724
cluster_3,0.4087984,0.53327554,1.0,0.43943253,0.14527634
cluster_4,0.530928,0.42620295,0.43943253,1.0,0.20672092
cluster_5,0.009186209,0.02223724,0.14527634,0.20672092,1.0
