,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.5876536,0.7349004,0.29393288,0.2085299,0.9796555,0.6370694,0.82759404,0.51239574,0.29061374
bigrams_clusters:cluster_2,0.5876536,1.0,0.58299184,0.22376134,0.20756157,0.5952186,0.92937154,0.5175109,0.35276088,0.24159548
bigrams_clusters:cluster_3,0.7349004,0.58299184,1.0,0.2673818,0.21423016,0.7324463,0.57348806,0.80430037,0.42529422,0.24585178
bigrams_clusters:cluster_4,0.29393288,0.22376134,0.2673818,1.0,0.7076903,0.31718108,0.27001417,0.29991478,0.50657684,0.8030742
bigrams_clusters:cluster_5,0.2085299,0.20756157,0.21423016,0.7076903,1.0,0.22859761,0.2115148,0.21186434,0.40125328,0.5139629
visual_clusters:cluster_1,0.9796555,0.5952186,0.7324463,0.31718108,0.22859761,1.0,0.6502575,0.85636276,0.5389045,0.31757507
visual_clusters:cluster_2,0.6370694,0.92937154,0.57348806,0.27001417,0.2115148,0.6502575,1.0,0.57665837,0.40944046,0.28413007
visual_clusters:cluster_3,0.82759404,0.5175109,0.80430037,0.29991478,0.21186434,0.85636276,0.57665837,1.0,0.6110736,0.31661057
visual_clusters:cluster_4,0.51239574,0.35276088,0.42529422,0.50657684,0.40125328,0.5389045,0.40944046,0.6110736,1.0,0.46082863
visual_clusters:cluster_5,0.29061374,0.24159548,0.24585178,0.8030742,0.5139629,0.31757507,0.28413007,0.31661057,0.46082863,1.0
