,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.7942115,0.5183037,0.6946947,0.27520323
cluster_2,0.7942115,1.0,0.26603773,0.6062097,0.11159995
cluster_3,0.5183037,0.26603773,1.0,0.43476567,0.23623396
cluster_4,0.6946947,0.6062097,0.43476567,1.0,0.16798617
cluster_5,0.27520323,0.11159995,0.23623396,0.16798617,1.0
