,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.69577307,0.76362216,0.6269059,0.44961712
cluster_2,0.69577307,1.0,0.63177663,0.52516276,0.36513084
cluster_3,0.76362216,0.63177663,1.0,0.6177662,0.27845898
cluster_4,0.6269059,0.52516276,0.6177662,1.0,0.5273509
cluster_5,0.44961712,0.36513084,0.27845898,0.5273509,1.0
