,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.6276465,0.77751154,0.5082918,0.25075924
cluster_2,0.6276465,1.0,0.5896235,0.41295627,0.119514324
cluster_3,0.77751154,0.5896235,1.0,0.5798355,0.09308702
cluster_4,0.5082918,0.41295627,0.5798355,1.0,0.32925716
cluster_5,0.25075924,0.119514324,0.09308702,0.32925716,1.0
