,auditory_clusters:cluster_1,auditory_clusters:cluster_2,auditory_clusters:cluster_3,auditory_clusters:cluster_4,auditory_clusters:cluster_5,auditory_clusters:cluster_6,auditory_clusters:cluster_7,syllables_clusters:cluster_1,syllables_clusters:cluster_2
auditory_clusters:cluster_1,1.0,0.43733358,0.14482787,0.34972733,0.12715225,0.28154385,0.59664017,0.29511678,0.16471551
auditory_clusters:cluster_2,0.43733358,1.0,0.37406632,0.43700513,0.30331448,0.07125253,0.4047905,0.04412975,-0.036308143
auditory_clusters:cluster_3,0.14482787,0.37406632,1.0,0.061086677,0.25592098,-0.086623594,0.07882836,0.007551603,0.08460307
auditory_clusters:cluster_4,0.34972733,0.43700513,0.061086677,1.0,0.17908013,-0.043667156,0.3808634,0.01585828,-0.09009122
auditory_clusters:cluster_5,0.12715225,0.30331448,0.25592098,0.17908013,1.0,-0.06663708,0.22204313,0.04829164,0.07992314
auditory_clusters:cluster_6,0.28154385,0.07125253,-0.086623594,-0.043667156,-0.06663708,1.0,0.081947,-0.030736323,-0.107596666
auditory_clusters:cluster_7,0.59664017,0.4047905,0.07882836,0.3808634,0.22204313,0.081947,1.0,0.46100056,0.344416
syllables_clusters:cluster_1,0.29511678,0.04412975,0.007551603,0.01585828,0.04829164,-0.030736323,0.46100056,1.0,0.85400635
syllables_clusters:cluster_2,0.16471551,-0.036308143,0.08460307,-0.09009122,0.07992314,-0.107596666,0.344416,0.85400635,1.0
