,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.52264386,0.59031594,0.33629256,0.30000874,0.90873486,0.52190524,0.43073255,0.34717587,0.28474045
bigrams_clusters:cluster_2,0.52264386,1.0,0.7468004,0.32795483,0.34867617,0.59558374,0.932408,0.49585903,0.2122403,0.23712848
bigrams_clusters:cluster_3,0.59031594,0.7468004,1.0,0.28004104,0.37110573,0.64175826,0.6641109,0.7269711,0.3196044,0.18641743
bigrams_clusters:cluster_4,0.33629256,0.32795483,0.28004104,1.0,0.60644704,0.40833944,0.3475697,0.21496537,0.47921604,0.81424755
bigrams_clusters:cluster_5,0.30000874,0.34867617,0.37110573,0.60644704,1.0,0.3653451,0.34057504,0.247151,0.33096886,0.38210768
visual_clusters:cluster_1,0.90873486,0.59558374,0.64175826,0.40833944,0.3653451,1.0,0.6028488,0.46221662,0.42079443,0.37173522
visual_clusters:cluster_2,0.52190524,0.932408,0.6641109,0.3475697,0.34057504,0.6028488,1.0,0.45504558,0.23113237,0.26913497
visual_clusters:cluster_3,0.43073255,0.49585903,0.7269711,0.21496537,0.247151,0.46221662,0.45504558,1.0,0.48516837,0.09562123
visual_clusters:cluster_4,0.34717587,0.2122403,0.3196044,0.47921604,0.33096886,0.42079443,0.23113237,0.48516837,1.0,0.38546896
visual_clusters:cluster_5,0.28474045,0.23712848,0.18641743,0.81424755,0.38210768,0.37173522,0.26913497,0.09562123,0.38546896,1.0
