,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.6483697,0.40608507,0.43736616,0.35049143,0.9732466,0.7354928,0.46919262,0.59710205,0.15204695
bigrams_clusters:cluster_2,0.6483697,1.0,0.5310197,0.3815013,0.27378786,0.6651586,0.8848466,0.6050675,0.68918544,0.19888917
bigrams_clusters:cluster_3,0.40608507,0.5310197,1.0,0.40643758,0.26190314,0.4107446,0.45527402,0.67190784,0.30845225,0.26300097
bigrams_clusters:cluster_4,0.43736616,0.3815013,0.40643758,1.0,0.7160399,0.44847426,0.45060447,0.33382893,0.38097936,0.60906136
bigrams_clusters:cluster_5,0.35049143,0.27378786,0.26190314,0.7160399,1.0,0.34400627,0.34961137,0.19515212,0.25225136,0.34927827
visual_clusters:cluster_1,0.9732466,0.6651586,0.4107446,0.44847426,0.34400627,1.0,0.7533894,0.48115212,0.6277792,0.1722061
visual_clusters:cluster_2,0.7354928,0.8848466,0.45527402,0.45060447,0.34961137,0.7533894,1.0,0.5445803,0.6631231,0.23230383
visual_clusters:cluster_3,0.46919262,0.6050675,0.67190784,0.33382893,0.19515212,0.48115212,0.5445803,1.0,0.65073913,0.1423167
visual_clusters:cluster_4,0.59710205,0.68918544,0.30845225,0.38097936,0.25225136,0.6277792,0.6631231,0.65073913,1.0,0.10211919
visual_clusters:cluster_5,0.15204695,0.19888917,0.26300097,0.60906136,0.34927827,0.1722061,0.23230383,0.1423167,0.10211919,1.0
