,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.6795877,0.44774526,0.13044779,0.26338664,0.9653657,0.6637804,0.6182594,0.38761386,0.18923138
bigrams_clusters:cluster_2,0.6795877,1.0,0.39493424,0.051026225,0.14788742,0.6713171,0.9268442,0.5432173,0.42794845,0.09912875
bigrams_clusters:cluster_3,0.44774526,0.39493424,1.0,0.0058131055,0.045607492,0.4303107,0.32933354,0.67180663,0.20795564,0.09436121
bigrams_clusters:cluster_4,0.13044779,0.051026225,0.0058131055,1.0,0.7039372,0.1102865,0.062111896,0.12298565,0.22284469,0.65257233
bigrams_clusters:cluster_5,0.26338664,0.14788742,0.045607492,0.7039372,1.0,0.24889298,0.1864103,0.26001447,0.3182376,0.59900963
visual_clusters:cluster_1,0.9653657,0.6713171,0.4303107,0.1102865,0.24889298,1.0,0.6649594,0.5811199,0.43878588,0.16399826
visual_clusters:cluster_2,0.6637804,0.9268442,0.32933354,0.062111896,0.1864103,0.6649594,1.0,0.50394505,0.45639315,0.10720663
visual_clusters:cluster_3,0.6182594,0.5432173,0.67180663,0.12298565,0.26001447,0.5811199,0.50394505,1.0,0.39416006,0.12476595
visual_clusters:cluster_4,0.38761386,0.42794845,0.20795564,0.22284469,0.3182376,0.43878588,0.45639315,0.39416006,1.0,0.13395955
visual_clusters:cluster_5,0.18923138,0.09912875,0.09436121,0.65257233,0.59900963,0.16399826,0.10720663,0.12476595,0.13395955,1.0
