,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.79713833,0.79562575,0.79006284,0.351377
cluster_2,0.79713833,1.0,0.6893306,0.69544446,0.26258248
cluster_3,0.79562575,0.6893306,1.0,0.71038145,0.19984041
cluster_4,0.79006284,0.69544446,0.71038145,1.0,0.42893577
cluster_5,0.351377,0.26258248,0.19984041,0.42893577,1.0
