,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.4981971,0.8077828,0.49722916,0.103724904
cluster_2,0.4981971,1.0,0.53147393,0.4062311,0.10649131
cluster_3,0.8077828,0.53147393,1.0,0.5393922,0.05291932
cluster_4,0.49722916,0.4062311,0.5393922,1.0,0.1991082
cluster_5,0.103724904,0.10649131,0.05291932,0.1991082,1.0
