,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.57017726,0.6907676,0.5077623,0.33530116,0.9774999,0.6329063,0.7443324,0.49259624,0.3010165
bigrams_clusters:cluster_2,0.57017726,1.0,0.6070671,0.40495065,0.35234246,0.601272,0.94161624,0.5561084,0.2190483,0.31379795
bigrams_clusters:cluster_3,0.6907676,0.6070671,1.0,0.41424286,0.35067028,0.7321497,0.62008554,0.8079335,0.25213,0.3438525
bigrams_clusters:cluster_4,0.5077623,0.40495065,0.41424286,1.0,0.66834533,0.5121267,0.3970822,0.4151537,0.5217587,0.56375873
bigrams_clusters:cluster_5,0.33530116,0.35234246,0.35067028,0.66834533,1.0,0.34970722,0.3479043,0.30461362,0.3313087,0.34465545
visual_clusters:cluster_1,0.9774999,0.601272,0.7321497,0.5121267,0.34970722,1.0,0.6721692,0.7906989,0.48321348,0.3079202
visual_clusters:cluster_2,0.6329063,0.94161624,0.62008554,0.3970822,0.3479043,0.6721692,1.0,0.63047576,0.2679334,0.31676126
visual_clusters:cluster_3,0.7443324,0.5561084,0.8079335,0.4151537,0.30461362,0.7906989,0.63047576,1.0,0.514452,0.31254175
visual_clusters:cluster_4,0.49259624,0.2190483,0.25213,0.5217587,0.3313087,0.48321348,0.2679334,0.514452,1.0,0.3132106
visual_clusters:cluster_5,0.3010165,0.31379795,0.3438525,0.56375873,0.34465545,0.3079202,0.31676126,0.31254175,0.3132106,1.0
