,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.5661752,0.724564,0.483764,0.27819034
cluster_2,0.5661752,1.0,0.5313451,0.4063842,0.37981814
cluster_3,0.724564,0.5313451,1.0,0.49267724,0.22676912
cluster_4,0.483764,0.4063842,0.49267724,1.0,0.41334802
cluster_5,0.27819034,0.37981814,0.22676912,0.41334802,1.0
