,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.6214223,0.6030826,0.3197773,0.4978021,0.9656635,0.57993495,0.6784298,0.63148665,0.1743109
bigrams_clusters:cluster_2,0.6214223,1.0,0.54433364,0.4333919,0.4228132,0.6691779,0.9169643,0.7335955,0.59968233,0.26152438
bigrams_clusters:cluster_3,0.6030826,0.54433364,1.0,0.19843611,0.30014083,0.62288797,0.4757276,0.6294774,0.42462412,0.09200511
bigrams_clusters:cluster_4,0.3197773,0.4333919,0.19843611,1.0,0.6809933,0.33723336,0.35035527,0.2898445,0.46093163,0.8192023
bigrams_clusters:cluster_5,0.4978021,0.4228132,0.30014083,0.6809933,1.0,0.51818067,0.37809613,0.3812367,0.5670352,0.5215811
visual_clusters:cluster_1,0.9656635,0.6691779,0.62288797,0.33723336,0.51818067,1.0,0.6366463,0.74316186,0.70666885,0.16585371
visual_clusters:cluster_2,0.57993495,0.9169643,0.4757276,0.35035527,0.37809613,0.6366463,1.0,0.7191356,0.629053,0.17673494
visual_clusters:cluster_3,0.6784298,0.7335955,0.6294774,0.2898445,0.3812367,0.74316186,0.7191356,1.0,0.6589055,0.16187857
visual_clusters:cluster_4,0.63148665,0.59968233,0.42462412,0.46093163,0.5670352,0.70666885,0.629053,0.6589055,1.0,0.27217546
visual_clusters:cluster_5,0.1743109,0.26152438,0.09200511,0.8192023,0.5215811,0.16585371,0.17673494,0.16187857,0.27217546,1.0
