,AUD_AWFA,BIG_OWFA,SYL_mAWFA,VIS_IFG,VIS_VWFA
AUD_AWFA,2.0,1.0,1.0,1.0,1.0
BIG_OWFA,1.0,2.0,1.0000504299354895,1.0,1.0
SYL_mAWFA,1.0,1.0000504299354895,2.0,1.0,1.001208168980814
VIS_IFG,1.0,1.0,1.0,2.0,1.0
VIS_VWFA,1.0,1.0,1.001208168980814,1.0,2.0
