,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.593136,0.58723927,0.24509187,0.09324509
cluster_2,0.593136,1.0,0.32137105,0.15086354,0.09390712
cluster_3,0.58723927,0.32137105,1.0,0.48486838,0.13405119
cluster_4,0.24509187,0.15086354,0.48486838,1.0,0.2924258
cluster_5,0.09324509,0.09390712,0.13405119,0.2924258,1.0
