,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.7589389,0.6611717,0.5243947,0.3125276
cluster_2,0.7589389,1.0,0.7641097,0.48359028,0.3396397
cluster_3,0.6611717,0.7641097,1.0,0.52131474,0.4043407
cluster_4,0.5243947,0.48359028,0.52131474,1.0,0.5390837
cluster_5,0.3125276,0.3396397,0.4043407,0.5390837,1.0
