,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.7014633,0.7294234,0.345581,0.29982176,0.95837694,0.6229328,0.76153404,0.6543896,0.19035378
bigrams_clusters:cluster_2,0.7014633,1.0,0.734683,0.4245899,0.2893343,0.73233557,0.9162535,0.698134,0.53937113,0.26127288
bigrams_clusters:cluster_3,0.7294234,0.734683,1.0,0.33169496,0.21334937,0.7454856,0.67792386,0.83594304,0.52105343,0.2520037
bigrams_clusters:cluster_4,0.345581,0.4245899,0.33169496,1.0,0.6058373,0.40009084,0.4111735,0.36654413,0.5500319,0.6517521
bigrams_clusters:cluster_5,0.29982176,0.2893343,0.21334937,0.6058373,1.0,0.32729557,0.26126805,0.30127773,0.44478732,0.27691054
visual_clusters:cluster_1,0.95837694,0.73233557,0.7454856,0.40009084,0.32729557,1.0,0.676138,0.8211312,0.72547746,0.22959116
visual_clusters:cluster_2,0.6229328,0.9162535,0.67792386,0.4111735,0.26126805,0.676138,1.0,0.6520824,0.5491203,0.2819567
visual_clusters:cluster_3,0.76153404,0.698134,0.83594304,0.36654413,0.30127773,0.8211312,0.6520824,1.0,0.6357857,0.26134768
visual_clusters:cluster_4,0.6543896,0.53937113,0.52105343,0.5500319,0.44478732,0.72547746,0.5491203,0.6357857,1.0,0.40093103
visual_clusters:cluster_5,0.19035378,0.26127288,0.2520037,0.6517521,0.27691054,0.22959116,0.2819567,0.26134768,0.40093103,1.0
