,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.22485124,0.4283283,0.43217877,0.37738898,0.95207334,0.24557519,0.68979865,0.41732898,0.21712358
bigrams_clusters:cluster_2,0.22485124,1.0,0.16379134,0.122523956,0.19159916,0.19875373,0.8940208,0.40213346,0.36897516,0.104402356
bigrams_clusters:cluster_3,0.4283283,0.16379134,1.0,0.2592062,0.21772353,0.42862532,0.18041351,0.5476419,0.27345353,0.0748408
bigrams_clusters:cluster_4,0.43217877,0.122523956,0.2592062,1.0,0.68172234,0.47498846,0.20381097,0.4379843,0.47871405,0.6288124
bigrams_clusters:cluster_5,0.37738898,0.19159916,0.21772353,0.68172234,1.0,0.40938008,0.22470948,0.40934357,0.42362157,0.47686237
visual_clusters:cluster_1,0.95207334,0.19875373,0.42862532,0.47498846,0.40938008,1.0,0.21659218,0.7511686,0.45557866,0.25751844
visual_clusters:cluster_2,0.24557519,0.8940208,0.18041351,0.20381097,0.22470948,0.21659218,1.0,0.4167389,0.41501182,0.1096973
visual_clusters:cluster_3,0.68979865,0.40213346,0.5476419,0.4379843,0.40934357,0.7511686,0.4167389,1.0,0.56611186,0.2872435
visual_clusters:cluster_4,0.41732898,0.36897516,0.27345353,0.47871405,0.42362157,0.45557866,0.41501182,0.56611186,1.0,0.41255084
visual_clusters:cluster_5,0.21712358,0.104402356,0.0748408,0.6288124,0.47686237,0.25751844,0.1096973,0.2872435,0.41255084,1.0
