,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.7172999,0.5757151,0.5992645,0.3549103
cluster_2,0.7172999,1.0,0.59480774,0.63953084,0.33523357
cluster_3,0.5757151,0.59480774,1.0,0.54848146,0.16380662
cluster_4,0.5992645,0.63953084,0.54848146,1.0,0.31966493
cluster_5,0.3549103,0.33523357,0.16380662,0.31966493,1.0
