,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.6960845,0.6592779,0.2115035,0.31589958
cluster_2,0.6960845,1.0,0.55176127,0.24473889,0.29866537
cluster_3,0.6592779,0.55176127,1.0,0.32310367,0.22752495
cluster_4,0.2115035,0.24473889,0.32310367,1.0,0.2954957
cluster_5,0.31589958,0.29866537,0.22752495,0.2954957,1.0
