,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.54582196,0.79138035,0.5880446,0.16198748
cluster_2,0.54582196,1.0,0.59137744,0.62867016,0.04672967
cluster_3,0.79138035,0.59137744,1.0,0.54989713,0.029221283
cluster_4,0.5880446,0.62867016,0.54989713,1.0,0.20921014
cluster_5,0.16198748,0.04672967,0.029221283,0.20921014,1.0
