X,Y,Z,Region,Size (voxels),Cluster Peak T
2,-28,28,"Cingulate Gyrus, posterior division",717,8.78
8,44,-4,Paracingulate Gyrus,137,5.77
42,22,42,Middle Frontal Gyrus,52,5.77
4,36,18,"Cingulate Gyrus, anterior division",34,5.25
64,-28,38,"Supramarginal Gyrus, anterior division",24,5.21
