,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.5612399,0.6651922,0.27744853,0.16515009,0.95440394,0.4756881,0.76134187,0.44372553,0.21736133
bigrams_clusters:cluster_2,0.5612399,1.0,0.5518905,0.14635248,0.097716495,0.57849544,0.8636286,0.5744051,0.44993418,0.05462511
bigrams_clusters:cluster_3,0.6651922,0.5518905,1.0,0.14912173,0.16295527,0.714875,0.36291572,0.80754644,0.3225548,0.096111305
bigrams_clusters:cluster_4,0.27744853,0.14635248,0.14912173,1.0,0.59887886,0.262038,0.17203276,0.28418437,0.4736057,0.7962698
bigrams_clusters:cluster_5,0.16515009,0.097716495,0.16295527,0.59887886,1.0,0.19873531,0.09355391,0.22648977,0.3244934,0.49748674
visual_clusters:cluster_1,0.95440394,0.57849544,0.714875,0.262038,0.19873531,1.0,0.4587927,0.8187949,0.48758677,0.22870724
visual_clusters:cluster_2,0.4756881,0.8636286,0.36291572,0.17203276,0.09355391,0.4587927,1.0,0.45053646,0.40217942,0.074167
visual_clusters:cluster_3,0.76134187,0.5744051,0.80754644,0.28418437,0.22648977,0.8187949,0.45053646,1.0,0.6015144,0.20209557
visual_clusters:cluster_4,0.44372553,0.44993418,0.3225548,0.4736057,0.3244934,0.48758677,0.40217942,0.6015144,1.0,0.42730317
visual_clusters:cluster_5,0.21736133,0.05462511,0.096111305,0.7962698,0.49748674,0.22870724,0.074167,0.20209557,0.42730317,1.0
