,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.59401006,0.17335127,0.43098095,0.24606389,0.96410066,0.67024094,0.5347066,0.5468262,0.32649338
bigrams_clusters:cluster_2,0.59401006,1.0,0.39133137,0.34810755,0.25984177,0.64046884,0.9433002,0.60009164,0.6078937,0.2970761
bigrams_clusters:cluster_3,0.17335127,0.39133137,1.0,0.052050304,0.06837845,0.16518033,0.31176236,0.7022012,0.18931566,-0.0074639455
bigrams_clusters:cluster_4,0.43098095,0.34810755,0.052050304,1.0,0.7022145,0.44191036,0.39801538,0.24661902,0.3997591,0.7392285
bigrams_clusters:cluster_5,0.24606389,0.25984177,0.06837845,0.7022145,1.0,0.26604602,0.2598573,0.2080532,0.27577564,0.60718966
visual_clusters:cluster_1,0.96410066,0.64046884,0.16518033,0.44191036,0.26604602,1.0,0.710441,0.55720955,0.5874693,0.34435508
visual_clusters:cluster_2,0.67024094,0.9433002,0.31176236,0.39801538,0.2598573,0.710441,1.0,0.5739613,0.6307122,0.31809622
visual_clusters:cluster_3,0.5347066,0.60009164,0.7022012,0.24661902,0.2080532,0.55720955,0.5739613,1.0,0.534307,0.11629853
visual_clusters:cluster_4,0.5468262,0.6078937,0.18931566,0.3997591,0.27577564,0.5874693,0.6307122,0.534307,1.0,0.30661654
visual_clusters:cluster_5,0.32649338,0.2970761,-0.0074639455,0.7392285,0.60718966,0.34435508,0.31809622,0.11629853,0.30661654,1.0
