,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.43658033,0.6113889,0.30761626,0.29381406
cluster_2,0.43658033,1.0,0.3871232,0.24635294,0.23264539
cluster_3,0.6113889,0.3871232,1.0,0.40786073,0.15592274
cluster_4,0.30761626,0.24635294,0.40786073,1.0,0.24516341
cluster_5,0.29381406,0.23264539,0.15592274,0.24516341,1.0
