,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.59020716,0.78273135,0.18482703,0.11735126,0.9501363,0.6846317,0.8422639,0.33947083,0.026176471
bigrams_clusters:cluster_2,0.59020716,1.0,0.624107,0.07648896,0.1483777,0.48769978,0.8913323,0.4890486,0.19868204,0.08485274
bigrams_clusters:cluster_3,0.78273135,0.624107,1.0,0.1428924,0.13603821,0.7029025,0.6618221,0.83276206,0.2211927,0.010284826
bigrams_clusters:cluster_4,0.18482703,0.07648896,0.1428924,1.0,0.62558305,0.21364905,0.17066719,0.17442484,0.25091788,0.48664746
bigrams_clusters:cluster_5,0.11735126,0.1483777,0.13603821,0.62558305,1.0,0.14712271,0.2021956,0.16879334,0.34646097,0.47153118
visual_clusters:cluster_1,0.9501363,0.48769978,0.7029025,0.21364905,0.14712271,1.0,0.6304699,0.8627041,0.47163066,0.07332546
visual_clusters:cluster_2,0.6846317,0.8913323,0.6618221,0.17066719,0.2021956,0.6304699,1.0,0.62817246,0.29856673,0.13824192
visual_clusters:cluster_3,0.8422639,0.4890486,0.83276206,0.17442484,0.16879334,0.8627041,0.62817246,1.0,0.4587872,0.07748036
visual_clusters:cluster_4,0.33947083,0.19868204,0.2211927,0.25091788,0.34646097,0.47163066,0.29856673,0.4587872,1.0,0.27518168
visual_clusters:cluster_5,0.026176471,0.08485274,0.010284826,0.48664746,0.47153118,0.07332546,0.13824192,0.07748036,0.27518168,1.0
