,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.39608312,0.5474636,0.3258735,0.30159432,0.94767135,0.38488117,0.58135825,0.42691398,0.2150017
bigrams_clusters:cluster_2,0.39608312,1.0,0.49239117,0.3038531,0.21090199,0.43509254,0.8751128,0.47968012,0.32468563,0.34639823
bigrams_clusters:cluster_3,0.5474636,0.49239117,1.0,0.26071772,0.25025553,0.57294816,0.4815437,0.8523699,0.53864384,0.408391
bigrams_clusters:cluster_4,0.3258735,0.3038531,0.26071772,1.0,0.67562455,0.32997817,0.35460162,0.3133539,0.44688454,0.5553436
bigrams_clusters:cluster_5,0.30159432,0.21090199,0.25025553,0.67562455,1.0,0.29383227,0.23871033,0.3070687,0.44444704,0.31810164
visual_clusters:cluster_1,0.94767135,0.43509254,0.57294816,0.32997817,0.29383227,1.0,0.38788697,0.61966324,0.42291406,0.22620645
visual_clusters:cluster_2,0.38488117,0.8751128,0.4815437,0.35460162,0.23871033,0.38788697,1.0,0.50474435,0.40733758,0.34037557
visual_clusters:cluster_3,0.58135825,0.47968012,0.8523699,0.3133539,0.3070687,0.61966324,0.50474435,1.0,0.6955649,0.4779147
visual_clusters:cluster_4,0.42691398,0.32468563,0.53864384,0.44688454,0.44444704,0.42291406,0.40733758,0.6955649,1.0,0.5604944
visual_clusters:cluster_5,0.2150017,0.34639823,0.408391,0.5553436,0.31810164,0.22620645,0.34037557,0.4779147,0.5604944,1.0
