,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.6652665,0.39144093,0.14657311,0.09769578,0.9243464,0.63882613,0.38488397,0.58068156,0.24933465
bigrams_clusters:cluster_2,0.6652665,1.0,0.53734404,0.25380525,0.08640831,0.743731,0.901897,0.4459593,0.4820109,0.26128724
bigrams_clusters:cluster_3,0.39144093,0.53734404,1.0,0.23229979,0.09736808,0.5980503,0.45644525,0.825322,0.29209408,0.22846097
bigrams_clusters:cluster_4,0.14657311,0.25380525,0.23229979,1.0,0.5566914,0.23716784,0.3277474,0.2767134,0.42711377,0.7537099
bigrams_clusters:cluster_5,0.09769578,0.08640831,0.09736808,0.5566914,1.0,0.12868011,0.14416093,0.10296625,0.26221615,0.4317275
visual_clusters:cluster_1,0.9243464,0.743731,0.5980503,0.23716784,0.12868011,1.0,0.6889653,0.57511055,0.6246904,0.29947045
visual_clusters:cluster_2,0.63882613,0.901897,0.45644525,0.3277474,0.14416093,0.6889653,1.0,0.40276214,0.49642098,0.32484373
visual_clusters:cluster_3,0.38488397,0.4459593,0.825322,0.2767134,0.10296625,0.57511055,0.40276214,1.0,0.43037373,0.29861432
visual_clusters:cluster_4,0.58068156,0.4820109,0.29209408,0.42711377,0.26221615,0.6246904,0.49642098,0.43037373,1.0,0.35801658
visual_clusters:cluster_5,0.24933465,0.26128724,0.22846097,0.7537099,0.4317275,0.29947045,0.32484373,0.29861432,0.35801658,1.0
