,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.7007806,0.6002867,0.22042678,0.27463552,0.9801786,0.6302409,0.75542414,0.6850935,0.03456696
bigrams_clusters:cluster_2,0.7007806,1.0,0.6322159,0.27992412,0.34942114,0.70729184,0.89196074,0.7038924,0.7436223,0.09086497
bigrams_clusters:cluster_3,0.6002867,0.6322159,1.0,0.095283546,0.13932425,0.59794277,0.45302197,0.72483534,0.4656278,-0.059370782
bigrams_clusters:cluster_4,0.22042678,0.27992412,0.095283546,1.0,0.76394814,0.20336436,0.30996314,0.19179343,0.3661362,0.66941416
bigrams_clusters:cluster_5,0.27463552,0.34942114,0.13932425,0.76394814,1.0,0.26664162,0.3561058,0.21688068,0.43604887,0.46611845
visual_clusters:cluster_1,0.9801786,0.70729184,0.59794277,0.20336436,0.26664162,1.0,0.63894606,0.77871114,0.707172,0.01933701
visual_clusters:cluster_2,0.6302409,0.89196074,0.45302197,0.30996314,0.3561058,0.63894606,1.0,0.597866,0.6973838,0.15448606
visual_clusters:cluster_3,0.75542414,0.7038924,0.72483534,0.19179343,0.21688068,0.77871114,0.597866,1.0,0.7445264,0.02723712
visual_clusters:cluster_4,0.6850935,0.7436223,0.4656278,0.3661362,0.43604887,0.707172,0.6973838,0.7445264,1.0,0.17942643
visual_clusters:cluster_5,0.03456696,0.09086497,-0.059370782,0.66941416,0.46611845,0.01933701,0.15448606,0.02723712,0.17942643,1.0
