Word,IPA,FREQcount,Zipf,CELEX,Equal # of Syllables
broche,brɔ - ʃə,73,3.224734046597731,brOS,False
patience,paː - tin - sə,72,3.21882518698721,pa - SAns,False
milkshake,(en) - mɪlk - ʃe - ɪk(nl),71,3.212834823298023,mIlk - Sek,False
lounge,lʌʊŋ - ə,71,3.212834823298023,lMntS,False
deuce,døː - sə,71,3.212834823298023,_us,False
royaal,roː - i - aːl,69,3.200600366881011,ro - jal,False
royaal,roː - i - aːl,69,3.200600366881011,ro - jal,False
sweater,sʋeː - aː - tər,68,3.19435141760401,swE - t@r,False
memoires,meː - moː - i - rɛs,68,3.19435141760401,me - mwa - r@s,False
psyche,psɪʃ,67,3.188011239572991,psi - x@,False
psyche,psɪʃ,67,3.188011239572991,psi - xe,False
manoeuvre,maː - nu - ɵ - vrə,67,3.188011239572991,ma - n* - vr@,False
herentoilet,hɪː - rən - toː - i - lɛt,67,3.188011239572991,he - r@ - twA - lEt,False
abc,ɑpk,67,3.188011239572991,a - be - se,False
afleidingsmanoeuvre,ɑ - flɛɪ - dɪŋ - smaː - nu - ɵ - vrə,66,3.181577129567581,Af - lK - dINs - ma - n* - vr@,False
break,breː - ɑk,65,3.175046262408623,brek,False
dominion,doː - mi - ni - ɔn,64,3.16841568350961,d@ - mIn - j@n,False
league,leː - aː - ɣy - ə,63,3.161682300850642,lik,False
money,moː - nə - i,61,3.147894016365008,m} - ni,False
boiler,boː - i - lər,61,3.147894016365008,bOj - l@r,False
vogue,voː - ɣy - ə,58,3.126354338508899,vO - g@,False
bouillon,bʌʊ - ɪ - lɔn,56,3.111377182539246,bul - jOn,False
ahoi,aːh - oː - i,56,3.111377182539246,a - hOj,False
society,soː - si - ti,55,3.103690353872955,so - sA - j@ - ti,False
heavy,heː - aː - vi,54,3.095865016360999,hE - vi,False
leader,leː - aː - dər,52,3.079778196467544,li - d@r,False
striptease,strɪp - tə - aː - zə,51,3.071505670501554,strIp - tis,False
grapefruit,ɣraː - pɛ - frœyt,51,3.071505670501554,grep - frut,False
hardware,(en)h - ɑːdw - e - ə(nl),49,3.054472331202773,hArd - w)r,False
frame,fraː - mə,48,3.045698406895268,frem,False
maillot,meː - ɪ - lɔt,45,3.018260158548329,mA - jo,False
image,i - maː - ʒə,45,3.018260158548329,I - mItS,False
slipstream,slɪp - strə - ɑm,44,3.008714840642098,slIp - strim,False
donkey,dɔŋ - kə - i,44,3.008714840642098,dON - ki,False
ongein,ɔn - ɣə - ɪn,42,2.988970782446341,ON - GKn,False
volleybal,vɔ - lə - i - bɑl,40,2.96828618358649,vO - li - bAl,False
square,skvaː - rə,40,2.96828618358649,skw)r,False
beauty,bə - ʌʊ - ti,40,2.96828618358649,bju - ti,False
tube,ty - bə,39,2.957562318194717,tSup,False
tenue,teː - ny - ə,38,2.946566933893254,t@ - ny,False
statement,staː - tə - mɛnt,38,2.946566933893254,stet - m@nt,False
stagiaire,staː - ɣi - ɛː - rə,38,2.946566933893254,sta - Z) - r@,False
fanmail,fɑn - meː - ɪl,38,2.946566933893254,fEn - mel,False
controversieel,kɔn - troː - vɛr - si - eːl,37,2.935285923483565,kOn - tro - vEr - Sel,False
revue,reː - vy - ə,35,2.911804827634042,r@ - vy,False
repertoire,reː - pər - toː - i - rə,35,2.911804827634042,re - p@r - twar,False
mailen,meː - ɪ - lən,35,2.911804827634042,me - l@,False
boycot,boː - i - kɔt,35,2.911804827634042,bOj - kOt,False
formaldehyde,fɔr - mɑl - deːh - i - ɪ - də,34,2.89957037121703,fOr - mAl - de - hi - d@,False
voyeur,voː - i - øːr,32,2.874016266744642,vwA - j|r,False
tissue,tɪ - sy - ə,32,2.874016266744642,tI - Su,False
stagiair,staː - ɣi - ɛr,32,2.874016266744642,sta - Z)r,False
racebaan,raː - sə - baːn,32,2.874016266744642,res - ban,False
polaroid,poː - laː - roː - ɪt,32,2.874016266744642,po - la - rOjt,False
manoeuvreren,maː - nu - ɵ - vrɪː - rən,32,2.874016266744642,ma - nu - vre - r@,False
heat,heː - ɑt,31,2.86065230518666,hit,False
guerrilla,ɣy - ər - rɪ - laː,29,2.832623581586417,g@ - ril - ja,False
videotape,vi - də - oː - taː - pə,28,2.817900324765711,vi - de - jo - tep,False
meeuw,meː - yʊ,28,2.817900324765711,mew,False
roadie,roː - aː - di,27,2.802660358208974,ro - di,False
fysiologie,fi - ʒoː - loː - ɣi,27,2.802660358208974,fi - zi - jo - lo - Gi,False
bourgeois,bʌʊr - ɣə - oː - ɪs,27,2.802660358208974,bur - ZwA,False
principieel,prɪn - si - pi - eːl,26,2.786866091025742,prIn - si - pjel,False
tutoyeren,ty - toː - i - ɪː - rən,25,2.770475674837573,ty - twA - je - r@,False
racewagen,raː - sə - ʋaː - ɣən,25,2.770475674837573,res - wa - G@,False
fysiotherapie,fi - ʒɔ - tɪː - raː - pi,25,2.770475674837573,fi - zi - jo - te - ra - pi,False
croissant,kroː - ɪ - sɑnt,25,2.770475674837573,krwA - sAn,False
patrouillewagen,pɑ - trʌʊ - ɪ - lə - ʋaː - ɣən,24,2.753442335538792,pA - tru - j@ - wa - G@,False
hotline,hɔt - li - nə,24,2.753442335538792,hOt - lAjn,False
lettertype,lɛ - tər - ti - ɪ - pə,23,2.73571356857836,lE - t@r - ti - p@,False
fake,faː - kə,23,2.73571356857836,fek,False
console,kɔn - soː - lə,23,2.73571356857836,kOn - sol,False
skinhead,skɪnh - ə - ɑt,22,2.717230162884348,skIn - hEt,False
hoofdingenieur,hoːv - dɪŋ - eː - ni - ɵr,22,2.717230162884348,hovd - In - Z@n - j|r,False
zeemeeuw,zeː - meː - yʊ,21,2.697925007688961,ze - mew,False
stereotype,stɪː - rə - oː - ti - ɪ - pə,21,2.697925007688961,ste - re - jo - ti - p@,False
royalty,roː - i - ɑl - ti,21,2.697925007688961,rO - j@l - ti,False
remake,reː - maː - kə,21,2.697925007688961,ri - mek,False
understatement,ɵn - dər - staː - tə - mɛnt,20,2.677721621600674,}n - d@r - stet - m@nt,False
sweatshirt,sʋeː - ɑtsh - ɪrt,20,2.677721621600674,swEt - S}rt,False
psychoanalyse,psɪx - oː - aː - naː - li - ɪ - sə,20,2.677721621600674,psi - xo - wa - na - l! - z@,False
meisjesachtig,mɛɪʃ - sɑx - təx,20,2.677721621600674,mKs - j@s - Ax - t@x,False
hypofyse,hi - poː - fi - ɪ - sə,20,2.677721621600674,hi - po - fi - z@,False
fondue,fɔn - dy - ə,20,2.677721621600674,fOn - dy,False
excelsior,ɛks - sɛl - ʃɔr,20,2.677721621600674,Ek - sEl - si - jOr,False
boycotten,boː - i - kɔ - tən,20,2.677721621600674,bOj - kO - t@,False
performance,pɛr - fɔr - mɑn - sə,19,2.656532322530736,p@r - fOr - m@ns,False
hockeyen,hɔ - kə - i - ən,19,2.656532322530736,hO - ki - j@,False
fysiotherapeut,fi - ʒɔ - tɪː - raː - pøːt,19,2.656532322530736,fi - zi - jo - te - ra - p|t,False
dialyse,di - aː - li - ɪ - sə,19,2.656532322530736,di - ja - l! - z@,False
douchegordijn,dʌʊx - ə - ɣɔr - dɛɪn,18,2.634255927819583,duS - GOr - dKn,False
bravoure,braː - vʌʊ - rə,18,2.634255927819583,bra - vur,False
soiree,soː - i - reː,17,2.610774831970061,swa - re,False
racepaard,raː - sɛ - paːrt,17,2.610774831970061,res - part,False
petticoat,pɛ - ti - koː - ɑt,17,2.610774831970061,pE - ti - kot,False
office,ɔ - fəs,17,2.610774831970061,O - fi - s@,False
muesli,my - ɛ - sli,17,2.610774831970061,mys - li,False
conference,kɔn - fɪː - rɛn - sə,17,2.610774831970061,kOn - f@ - r@ns,False
ratatouille,raː - taː - tʌʊ - ɪ - lə,16,2.585951248245029,ra - ta - tu - j@,False
pistache,pi - stɑʃ,16,2.585951248245029,pis - tA - S@,False
museumstuk,my - zøːm - stɵk,16,2.585951248245029,my - se - j}m - st}k,False
guano,ɣy - aː - noː,16,2.585951248245029,gwa - no,False
fysiologisch,fi - ʒoː - loː - ɣis,16,2.585951248245029,fi - zi - jo - lo - Gis,False
chocoladecake,ʃoː - koː - laː - də - kaː - kə,16,2.585951248245029,So - ko - la - d@ - kek,False
visionair,vi - ʒoː - nɛr,15,2.55962230952268,vi - zi - jo - n)r,False
scope,skoː - pə,15,2.55962230952268,skop,False
pace,paː - sə,15,2.55962230952268,pes,False
minute,mi - nyt,15,2.55962230952268,mi - ny - t@,False
joke,joː - kə,15,2.55962230952268,_ok,False
exchange,ɛk - sxɑŋ - ə,15,2.55962230952268,Ek - tSenS,False
cue,ky - ə,15,2.55962230952268,kju,False
courgette,kur - ʒɛt,15,2.55962230952268,kur - ZE - t@,False
bouillabaisse,bʌʊ - ɪ - laː - bɑj - sə,15,2.55962230952268,bu - ja - b) - z@,False
vruchtencake,vrɵx - tən - kaː - kə,14,2.531593585922436,vr}x - t@ - kek,False
tune,ty - nə,14,2.531593585922436,tSun,False
toiletpot,toː - i - lɛt - pɔt,14,2.531593585922436,twA - lEt - pOt,False
skyline,ski - li - nə,14,2.531593585922436,skAj - lAjn,False
requiem,reːk - vim,14,2.531593585922436,re - kwi - jEm,False
reading,reː - aː - dɪŋ,14,2.531593585922436,ri - dIN,False
move,moː - və,14,2.531593585922436,muf,False
grime,ɣri - mə,14,2.531593585922436,grim,False
cockney,kɔk - nə - i,14,2.531593585922436,kOk - ni,False
ceremonieel,sɪː - rə - moː - ni - eːl,14,2.531593585922436,se - r@ - mo - njel,False
bourgeoisie,bʌʊr - ɣə - oː - i - zi,14,2.531593585922436,bur - ZwA - zi,False
volleyballen,vɔ - lə - i - bɑ - lən,13,2.501630362544993,vO - li - bA - l@,False
vaudeville,vʌʊ - də - vɪ - lə,13,2.501630362544993,vo - d@ - vil,False
pointe,poː - ɪn - tə,13,2.501630362544993,pw)n - t@,False
cottage,kɔ - taː - ʒə,13,2.501630362544993,kO - tItS,False
choke,ʃoː - kə,13,2.501630362544993,Sok,False
carrier,kɑɾ - rir,13,2.501630362544993,kE - ri - j@r,False
toilettas,toː - i - lɛ - tɑs,12,2.469445679173591,twA - lE - tAs,False
release,reː - lə - aː - zə,12,2.469445679173591,ri - lis,False
mesjoche,mɛ - ʃɔʃ,12,2.469445679173591,m@ - SO - x@,False
matchpoint,mɑtx - poː - ɪnt,12,2.469445679173591,mEtS - pOjnt,False
joystick,joː - ɪ - stɪk,12,2.469445679173591,_Oj - stIk,False
headhunter,heː - ɑdh - ɵn - tər,12,2.469445679173591,hEd - h}n - t@r,False
grapefruitsap,ɣraː - pɛ - frœyt - sɑp,12,2.469445679173591,grep - frut - sAp,False
gezondheidsfreak,ɣə - zɔndh - ɛɪds - freː - ɑk,12,2.469445679173591,x@ - zOnt - hKts - frik,False
voyeurisme,voː - i - øː - rɪ - smə,11,2.43468357291438,vwA - j| - rIs - m@,False
toilettafel,toː - i - lɛ - taː - fɛl,11,2.43468357291438,twA - lE - ta - f@l,False
oeuvre,u - ɵ - vrə,11,2.43468357291438,* - vr@,False
minutieus,mi - ny - ʃøːs,11,2.43468357291438,mi - ny - tsi - j|s,False
geeuw,ɣeː - yʊ,11,2.43468357291438,xew,False
gebeid,ɣə - bə - ɪt,11,2.43468357291438,x@ - bKt,False
approach,ɑ - proː - ɑx,11,2.43468357291438,@ - protS,False
volley,vɔ - lə - i,10,2.396895012024979,vO - li,False
uittypen,œyt - ti - ɪ - pən,10,2.396895012024979,L - ti - p@,False
teak,teː - ɑk,10,2.396895012024979,tik,False
sprookjesachtig,sproːkj - sɑx - təx,10,2.396895012024979,sprok - j@s - Ax - t@x,False
species,speː - sis,10,2.396895012024979,spe - si - jEs,False
ready,reː - aː - di,10,2.396895012024979,rE - di,False
poise,poː - i - zə,10,2.396895012024979,pwa - z@,False
pantomime,pɑn - toː - mi - mə,10,2.396895012024979,pAn - to - mim,False
paella,paː - laː,10,2.396895012024979,pa - El - ja,False
lease,leː - aː - zə,10,2.396895012024979,lis,False
flamboyant,flɑm - boː - i - ɑnt,10,2.396895012024979,flAm - bwA - jAnt,False
escape,(en) - ɛ - ske - ɪp(nl),10,2.396895012024979,Es - kep,False
chutney,ʃɵt - nə - i,10,2.396895012024979,tS}t - ni,False
celluloid,sɛ - ly - loː - ɪt,10,2.396895012024979,sE - ly - lOjt,False
beatnik,bə - ɑt - nɪk,10,2.396895012024979,bit - nIk,False
toevalligerwijs,tu - vɑ - li - ɣə - ɣər - ʋɛɪs,9,2.355502326866755,tu - vA - l@ - G@r - wKs,False
pancake,pɑn - kaː - kə,9,2.355502326866755,pAN - kek,False
molecule,moː - lə - ky - lə,9,2.355502326866755,mo - l@ - kyl,False
hockeywedstrijd,hɔ - kə - i - ʋɛt - strɛɪt,9,2.355502326866755,hO - ki - wEt - strKt,False
hockeystick,hɔ - kə - ɪ - stɪk,9,2.355502326866755,hO - ki - stIk,False
hachelijk,hɑ - ʃlək,9,2.355502326866755,hA - x@ - l@k,False
blocnote,blɔk - noː - tə,9,2.355502326866755,blOk - not,False
beaujolais,bə - ʌʊ - joː - lɑjs,9,2.355502326866755,bo - Zo - lE,False
typefout,ti - pə - fʌʊt,8,2.30974483630608,tip - fMt,False
touche,tu - ʃə,8,2.30974483630608,tuS,False
stripteasetent,strɪp - tə - aː - zə - tɛnt,8,2.30974483630608,strIp - tis - tEnt,False
sidewinder,si - də - ʋɪn - dər,8,2.30974483630608,sAjd - wAjn - d@r,False
overdrive,oː - vər - dri - və,8,2.30974483630608,o - v@r - drAjf,False
hometrainer,hoː - mɛ - trɑj - nər,8,2.30974483630608,hom - tre - n@r,False
doucheruimte,dʌʊx - ɪː - rœym - tə,8,2.30974483630608,duS - rLm - t@,False
cokes,koː - kəs,8,2.30974483630608,koks,False
tearoom,teː - aː - roːm,7,2.258592313858698,ti - rum,False
teakhout,teː - ɑkh - ʌʊt,7,2.258592313858698,tik - hMt,False
stanleymes,stɑn - lə - i - mɛs,7,2.258592313858698,stEn - li - mEs,False
scrimmage,skrɪ - maː - ʒə,7,2.258592313858698,skrI - mItS,False
royeren,roː - i - ɪː - rən,7,2.258592313858698,rwA - je - r@,False
roquefort,roːk - və - fɔrt,7,2.258592313858698,rOk - fOrt,False
ragtime,rɑx - ti - mə,7,2.258592313858698,rEg - tAjm,False
picture,pɪk - ty - rə,7,2.258592313858698,pIk - tj@r,False
overhead,oː - vərh - eː - ɑt,7,2.258592313858698,o - v@r - h)t,False
ongelukkigerwijs,ɔn - ɣə - lɵ - ki - ɣə - ɣər - ʋɛɪs,7,2.258592313858698,ON - G@ - l} - k@ - G@r - wKs,False
mixed,mɪk - sɛt,7,2.258592313858698,mIkst,False
manche,mɑnʃ,7,2.258592313858698,mAn - S@,False
mailing,meː - ɪ - lɪŋ,7,2.258592313858698,me - lIN,False
geeuwen,ɣeː - yw - ən,7,2.258592313858698,xe - w@,False
forehand,foː - rəh - ɑnt,7,2.258592313858698,for - hEnt,False
corduroy,kɔr - dy - roː - i,7,2.258592313858698,kOr - dy - rOj,False
combine,kɔm - bi - nə,7,2.258592313858698,kOm - bAjn,False
coating,koː - aː - tɪŋ,7,2.258592313858698,ko - tIN,False
vintage,vɪn - taː - ʒə,6,2.200600366881011,vIn - tItS,False
vieux,vi - ɵks,6,2.200600366881011,vj|,False
serve,sɛr - və,6,2.200600366881011,s}rf,False
sequoia,seːk - voː - i - aː,6,2.200600366881011,se - kwo - ja,False
selfmade,sɛlf - maː - də,6,2.200600366881011,sElf - met,False
reader,reː - aː - dər,6,2.200600366881011,ri - d@r,False
peanuts,peː - aː - nɵts,6,2.200600366881011,pi - n}ts,False
overheadkosten,oː - vərh - eː - ɑd - kɔ - stən,6,2.200600366881011,o - v@r - h)d - kOs - t@,False
medley,mɛd - lə - i,6,2.200600366881011,mEd - li,False
loyauteit,loː - i - ʌʊ - tɛɪt,6,2.200600366881011,lwA - jo - tKt,False
hockeyer,hɔ - kə - i - ər,6,2.200600366881011,hO - ki - j@r,False
gevechtstenue,ɣə - vɛxt - stə - ny - ə,6,2.200600366881011,x@ - vExts - t@ - ny,False
flagstone,flɑx - stoː - nə,6,2.200600366881011,flEg - ston,False
essence,ɛ - sɛn - sə,6,2.200600366881011,E - sAns,False
directoire,di - rɛk - toː - i - rə,6,2.200600366881011,di - rEk - twar,False
dementia,deː - mən - ʃaː,6,2.200600366881011,de - mEn - si - ja,False
cartouche,kɑr - tu - ʃə,6,2.200600366881011,kAr - tuS,False
bougainville,bʌʊ - ɣɑjn - vɪ - lə,6,2.200600366881011,bu - g) - vil,False
barcarolle,bɑr - kaː - rɔ - lə,6,2.200600366881011,bAr - ka - rOl,False
videogame,vi - də - oː - ɣaː - mə,5,2.133653577250398,vi - de - jo - gem,False
verkenningspatrouille,vər - kɛ - nɪŋ - spɑ - trʌʊ - ɪ - lə,5,2.133653577250398,v@r - kE - nINs - pA - tru - j@,False
tertiair,tɛr - ʃɛr,5,2.133653577250398,tEr - tsi - j)r,False
stripteasedanseres,strɪp - tə - aː - zə - dɑn - sə - rɛs,5,2.133653577250398,strIp - tiz - dAn - s@ - rEs,False
spectraalanalyse,spɛk - traː - laː - naː - li - ɪ - sə,5,2.133653577250398,spEk - tral - a - na - l! - z@,False
sidecar,si - də - kɑr,5,2.133653577250398,sAjt - kAr,False
portemonnaie,pɔr - tə - mɔ - nɑ - jə,5,2.133653577250398,pOr - t@ - mO - ne,False
museumdirecteur,my - zøːm - di - rɛk - tøːr,5,2.133653577250398,my - se - j}m - di - rEk - t|r,False
leadzanger,leː - ɑd - zɑŋ - ər,5,2.133653577250398,lid - sA - N@r,False
ijsrevue,ɛɪs - rə - vy - ə,5,2.133653577250398,Ks - r@ - vy,False
guerrillaoorlog,ɣy - ər - rɪ - laː - ɔːr - lɔx,5,2.133653577250398,g@ - ril - ja - or - lOx,False
feature,feː - aː - ty - rə,5,2.133653577250398,fi - tS@r,False
fauteuil,fʌʊ - tøː - ɪl,5,2.133653577250398,fo - tL,False
dies,dis,5,2.133653577250398,di - jEs,False
beignet,bə - ɪɣ - nɛt,5,2.133653577250398,b@n - je,False
typekamer,ti - pə - kaː - mər,4,2.054472331202773,tip - ka - m@r,False
toiletjuffrouw,toː - i - lɛtʲ - ɵ - frʌʊ,4,2.054472331202773,twA - lEt - j} - frMw,False
toiletdeur,toː - i - lɛ - tøːr,4,2.054472331202773,twA - lE - d|r,False
taupe,tʌʊ - pə,4,2.054472331202773,top,False
synecdoche,si - nɛk - dɔʃ,4,2.054472331202773,si - nEg - dO - xe,False
streaken,streː - aː - kən,4,2.054472331202773,stri - k@,False
soit,soː - ɪt,4,2.054472331202773,swa,False
researchteam,reː - zə - ɑrx - tiːm,4,2.054472331202773,ri - s}rtS - tim,False
polaroidcamera,poː - laː - roː - ɪd - kaː - mə - raː,4,2.054472331202773,po - la - rOjt - ka - m@ - ra,False
mijningenieur,mɛɪ - nɪŋ - eː - ni - ɵr,4,2.054472331202773,mKn - In - Z@n - j|r,False
leasen,leː - aː - zən,4,2.054472331202773,li - z@,False
landbouwingenieur,lɑnd - bʌʊ - ɪŋ - eː - ni - ɵr,4,2.054472331202773,lAnd - bMw - In - Z@n - j|r,False
kaasfondue,kaː - sfɔn - dy - ə,4,2.054472331202773,kas - fOn - dy,False
issue,ɪ - sy - ə,4,2.054472331202773,I - Su,False
intakegesprek,ɪn - taː - kə - ɣə - sprɛk,4,2.054472331202773,In - tek - x@ - sprEk,False
intake,ɪn - taː - kə,4,2.054472331202773,In - tek,False
fouillering,fʌʊ - ɪ - lɪː - rɪŋ,4,2.054472331202773,fu - je - rIN,False
elefantiasis,eː - lə - fɑn - ʃaː - zɪs,4,2.054472331202773,e - l@ - fAn - ti - ja - sIs,False
dragline,drɑ - ɣli - nə,4,2.054472331202773,drEg - lAjn,False
douchecel,dʌʊx - ə - sɛl,4,2.054472331202773,du - SEl,False
cowboyfilm,kɔʋ - boː - i - fɪlm,4,2.054472331202773,kM - bOj - fIlm,False
coat,koː - ɑt,4,2.054472331202773,kot,False
coaster,koː - ɑ - stər,4,2.054472331202773,ko - st@r,False
ballpoint,bɑl - poː - ɪnt,4,2.054472331202773,bAl - pOjnt,False
baguette,baː - ɣy - ɛ - tə,4,2.054472331202773,ba - GE - t@,False
angstvisioen,ɑŋst - vi - ʒun,4,2.054472331202773,ANst - fi - zi - jun,False
typecasting,ti - pə - kɑ - stɪŋ,3,1.957562318194717,tAjp - kAs - tIN,False
trolley,trɔ - lə - i,3,1.957562318194717,trO - li,False
trenchcoat,trɛnx - koː - ɑt,3,1.957562318194717,trEntS - kot,False
toiletemmer,toː - i - leː - tɛ - mər,3,1.957562318194717,twA - lEt - E - m@r,False
systeemanalyse,sɪ - steː - maː - naː - li - ɪ - sə,3,1.957562318194717,sis - tem - a - na - l! - z@,False
suisse,sœy - sə,3,1.957562318194717,swis,False
stripteaseuse,strɪp - tə - aː - zøː - zə,3,1.957562318194717,strIp - ti - z| - z@,False
spoiler,spoː - i - lər,3,1.957562318194717,spOj - l@r,False
salesmanager,saː - lɛ - smaː - naː - ɣər,3,1.957562318194717,selz - mE - n@ - _@r,False
royement,roː - i - ə - mɛnt,3,1.957562318194717,rwA - j@ - mEnt,False
racecircuit,raː - sə - sɪr - kœyt,3,1.957562318194717,re - sIr - kwi,False
pepersteak,peː - pər - steː - ɑk,3,1.957562318194717,pe - p@r - stek,False
parachutesprong,paː - raː - ʃy - tɛ - sprɔŋ,3,1.957562318194717,pa - ra - Syt - sprON,False
