X,Y,Z,Region,Size (voxels),Cluster Peak T
-62,-14,-2,"Superior Temporal Gyrus, posterior division",1353,9.42
64,-4,-6,"Superior Temporal Gyrus, anterior division",758,8.89
-40,34,-10,Frontal Orbital Cortex,25,6.44
-48,22,20,"Inferior Frontal Gyrus, pars opercularis",58,6.18
-48,34,4,"Inferior Frontal Gyrus, pars triangularis",20,5.89
-44,-46,-16,"Inferior Temporal Gyrus, temporooccipital part",25,5.88
