,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.6250921,0.77275264,0.58080333,0.31876442
cluster_2,0.6250921,1.0,0.6241266,0.64650464,0.15803212
cluster_3,0.77275264,0.6241266,1.0,0.62359744,0.21023597
cluster_4,0.58080333,0.64650464,0.62359744,1.0,0.33731404
cluster_5,0.31876442,0.15803212,0.21023597,0.33731404,1.0
