,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.56502694,0.727068,0.32066298,0.4686058,0.9717394,0.5871396,0.7348747,0.53075266,0.32279554
bigrams_clusters:cluster_2,0.56502694,1.0,0.5901739,0.36226332,0.3550124,0.5876223,0.9179073,0.63280064,0.6253086,0.16301939
bigrams_clusters:cluster_3,0.727068,0.5901739,1.0,0.17604263,0.29532546,0.7288404,0.5507852,0.79914683,0.41703835,0.19453645
bigrams_clusters:cluster_4,0.32066298,0.36226332,0.17604263,1.0,0.6257983,0.3382257,0.3743917,0.32268834,0.6324024,0.5455075
bigrams_clusters:cluster_5,0.4686058,0.3550124,0.29532546,0.6257983,1.0,0.46006837,0.35958254,0.3352763,0.45184496,0.5590937
visual_clusters:cluster_1,0.9717394,0.5876223,0.7288404,0.3382257,0.46006837,1.0,0.6063187,0.7677192,0.5743808,0.32759508
visual_clusters:cluster_2,0.5871396,0.9179073,0.5507852,0.3743917,0.35958254,0.6063187,1.0,0.5981763,0.6408807,0.1724002
visual_clusters:cluster_3,0.7348747,0.63280064,0.79914683,0.32268834,0.3352763,0.7677192,0.5981763,1.0,0.6156669,0.23879004
visual_clusters:cluster_4,0.53075266,0.6253086,0.41703835,0.6324024,0.45184496,0.5743808,0.6408807,0.6156669,1.0,0.3531913
visual_clusters:cluster_5,0.32279554,0.16301939,0.19453645,0.5455075,0.5590937,0.32759508,0.1724002,0.23879004,0.3531913,1.0
