,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.41219732,0.20942464,0.2980135,0.17799903,0.92988926,0.41673493,0.45226258,0.568347,0.2687486
bigrams_clusters:cluster_2,0.41219732,1.0,0.5780908,0.36028564,0.37024453,0.49965823,0.89994633,0.6702121,0.53739697,0.31367624
bigrams_clusters:cluster_3,0.20942464,0.5780908,1.0,0.15545353,0.15994355,0.19873641,0.50841904,0.66500187,0.18218274,0.053308565
bigrams_clusters:cluster_4,0.2980135,0.36028564,0.15545353,1.0,0.5222919,0.3521818,0.33418489,0.22870065,0.4187553,0.76236594
bigrams_clusters:cluster_5,0.17799903,0.37024453,0.15994355,0.5222919,1.0,0.21299785,0.31930166,0.1634242,0.35556945,0.3669516
visual_clusters:cluster_1,0.92988926,0.49965823,0.19873641,0.3521818,0.21299785,1.0,0.48727465,0.51125455,0.67977905,0.33833465
visual_clusters:cluster_2,0.41673493,0.89994633,0.50841904,0.33418489,0.31930166,0.48727465,1.0,0.5710143,0.4951323,0.2685288
visual_clusters:cluster_3,0.45226258,0.6702121,0.66500187,0.22870065,0.1634242,0.51125455,0.5710143,1.0,0.5509944,0.20032331
visual_clusters:cluster_4,0.568347,0.53739697,0.18218274,0.4187553,0.35556945,0.67977905,0.4951323,0.5509944,1.0,0.38139597
visual_clusters:cluster_5,0.2687486,0.31367624,0.053308565,0.76236594,0.3669516,0.33833465,0.2685288,0.20032331,0.38139597,1.0
