,auditory_clusters:cluster_1,auditory_clusters:cluster_2,auditory_clusters:cluster_3,auditory_clusters:cluster_4,auditory_clusters:cluster_5,auditory_clusters:cluster_6,auditory_clusters:cluster_7,syllables_clusters:cluster_1,syllables_clusters:cluster_2
auditory_clusters:cluster_1,0.9999999,0.55724764,0.5486139,0.48966575,0.30850515,0.35246462,0.5901934,0.47674033,0.3007478
auditory_clusters:cluster_2,0.55724764,0.9999999,0.46489236,0.45488682,0.29313186,0.18324612,0.42075917,0.24217513,0.12789121
auditory_clusters:cluster_3,0.5486139,0.46489236,0.9999999,0.34027812,0.29710865,0.23471265,0.34227097,0.2802226,0.16842583
auditory_clusters:cluster_4,0.48966575,0.45488682,0.34027812,0.9999999,0.17994022,0.22197749,0.3999109,0.17912193,0.059242558
auditory_clusters:cluster_5,0.30850515,0.29313186,0.29710865,0.17994022,0.9999999,0.118421815,0.22676186,0.15348503,0.11431892
auditory_clusters:cluster_6,0.35246462,0.18324612,0.23471265,0.22197749,0.118421815,0.9999999,0.28435197,0.21668264,0.18765278
auditory_clusters:cluster_7,0.5901934,0.42075917,0.34227097,0.3999109,0.22676186,0.28435197,0.9999999,0.32828566,0.25530076
syllables_clusters:cluster_1,0.47674033,0.24217513,0.2802226,0.17912193,0.15348503,0.21668264,0.32828566,0.9999999,0.84949636
syllables_clusters:cluster_2,0.3007478,0.12789121,0.16842583,0.059242558,0.11431892,0.18765278,0.25530076,0.84949636,0.9999999
