,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.460949,0.66766876,0.38194183,0.2521913
cluster_2,0.460949,1.0,0.42827165,0.3368964,0.055619348
cluster_3,0.66766876,0.42827165,1.0,0.5194908,0.265503
cluster_4,0.38194183,0.3368964,0.5194908,1.0,0.27829152
cluster_5,0.2521913,0.055619348,0.265503,0.27829152,1.0
