,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.7191104,0.60425705,0.15329452,-0.0030922075,0.94825137,0.70105624,0.65947384,0.5272485,0.18703124
bigrams_clusters:cluster_2,0.7191104,1.0,0.52378017,0.10199838,-0.091077514,0.6938143,0.91435355,0.53422236,0.4382469,0.14239457
bigrams_clusters:cluster_3,0.60425705,0.52378017,1.0,0.03357446,-0.14474443,0.57193446,0.49703318,0.6792521,0.24118027,0.03253782
bigrams_clusters:cluster_4,0.15329452,0.10199838,0.03357446,1.0,0.48706803,0.1778653,0.1758675,0.13033731,0.47163263,0.8668402
bigrams_clusters:cluster_5,-0.0030922075,-0.091077514,-0.14474443,0.48706803,1.0,0.0041120998,-0.074081354,-0.023131628,0.13936098,0.360745
visual_clusters:cluster_1,0.94825137,0.6938143,0.57193446,0.1778653,0.0041120998,1.0,0.723373,0.73671997,0.50609803,0.18809795
visual_clusters:cluster_2,0.70105624,0.91435355,0.49703318,0.1758675,-0.074081354,0.723373,1.0,0.60643727,0.47574377,0.1964996
visual_clusters:cluster_3,0.65947384,0.53422236,0.6792521,0.13033731,-0.023131628,0.73671997,0.60643727,1.0,0.43689093,0.08275943
visual_clusters:cluster_4,0.5272485,0.4382469,0.24118027,0.47163263,0.13936098,0.50609803,0.47574377,0.43689093,1.0,0.5261446
visual_clusters:cluster_5,0.18703124,0.14239457,0.03253782,0.8668402,0.360745,0.18809795,0.1964996,0.08275943,0.5261446,1.0
