,auditory_clusters:cluster_1,auditory_clusters:cluster_2,auditory_clusters:cluster_3,auditory_clusters:cluster_4,auditory_clusters:cluster_5,auditory_clusters:cluster_6,auditory_clusters:cluster_7,syllables_clusters:cluster_1,syllables_clusters:cluster_2
auditory_clusters:cluster_1,1.0,0.3881721,0.69656163,0.6629678,0.38070345,0.4512851,0.746335,0.32926732,0.13947627
auditory_clusters:cluster_2,0.3881721,1.0,0.21570858,0.15274082,0.18181567,-0.048988998,0.2918787,0.012932333,0.047216803
auditory_clusters:cluster_3,0.69656163,0.21570858,1.0,0.6057566,0.4121681,0.5877998,0.6020678,0.27511775,0.12421964
auditory_clusters:cluster_4,0.6629678,0.15274082,0.6057566,1.0,0.21030979,0.501084,0.5949459,0.18880714,-0.023508761
auditory_clusters:cluster_5,0.38070345,0.18181567,0.4121681,0.21030979,1.0,0.38351384,0.26658708,0.076775566,0.061987128
auditory_clusters:cluster_6,0.4512851,-0.048988998,0.5877998,0.501084,0.38351384,1.0,0.45799035,0.15193291,-0.0030361821
auditory_clusters:cluster_7,0.746335,0.2918787,0.6020678,0.5949459,0.26658708,0.45799035,1.0,0.46806398,0.3232541
syllables_clusters:cluster_1,0.32926732,0.012932333,0.27511775,0.18880714,0.076775566,0.15193291,0.46806398,1.0,0.8265594
syllables_clusters:cluster_2,0.13947627,0.047216803,0.12421964,-0.023508761,0.061987128,-0.0030361821,0.3232541,0.8265594,1.0
