,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.7145971,0.7338907,0.72222114,0.20736843
cluster_2,0.7145971,1.0,0.60330886,0.7123885,0.058475528
cluster_3,0.7338907,0.60330886,1.0,0.72759914,0.12188634
cluster_4,0.72222114,0.7123885,0.72759914,1.0,0.1856327
cluster_5,0.20736843,0.058475528,0.12188634,0.1856327,1.0
