,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.71481997,0.47372082,0.36667895,0.2933987,0.96458477,0.7035315,0.77386916,0.66412234,0.22825514
bigrams_clusters:cluster_2,0.71481997,1.0,0.4933274,0.29059288,0.23920491,0.7114781,0.949223,0.64302677,0.5247371,0.1735633
bigrams_clusters:cluster_3,0.47372082,0.4933274,1.0,0.20293094,0.2683887,0.4921444,0.4476234,0.7742886,0.19583298,0.12519214
bigrams_clusters:cluster_4,0.36667895,0.29059288,0.20293094,1.0,0.67604727,0.36646616,0.26358885,0.2882026,0.409017,0.71832705
bigrams_clusters:cluster_5,0.2933987,0.23920491,0.2683887,0.67604727,1.0,0.32630914,0.21212935,0.35687533,0.2398522,0.5320227
visual_clusters:cluster_1,0.96458477,0.7114781,0.4921444,0.36646616,0.32630914,1.0,0.70211816,0.803935,0.6588791,0.24421407
visual_clusters:cluster_2,0.7035315,0.949223,0.4476234,0.26358885,0.21212935,0.70211816,1.0,0.61154896,0.5016029,0.16521338
visual_clusters:cluster_3,0.77386916,0.64302677,0.7742886,0.2882026,0.35687533,0.803935,0.61154896,1.0,0.51852584,0.18918638
visual_clusters:cluster_4,0.66412234,0.5247371,0.19583298,0.409017,0.2398522,0.6588791,0.5016029,0.51852584,1.0,0.30992037
visual_clusters:cluster_5,0.22825514,0.1735633,0.12519214,0.71832705,0.5320227,0.24421407,0.16521338,0.18918638,0.30992037,1.0
