,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.7341452,0.6660798,0.6976552,0.30246332
cluster_2,0.7341452,1.0,0.54074335,0.5744175,0.15705411
cluster_3,0.6660798,0.54074335,1.0,0.74073285,0.28045276
cluster_4,0.6976552,0.5744175,0.74073285,1.0,0.42087153
cluster_5,0.30246332,0.15705411,0.28045276,0.42087153,1.0
