,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.6564276,0.6948686,0.4569282,0.21085557
cluster_2,0.6564276,1.0,0.43154472,0.31085974,0.07835845
cluster_3,0.6948686,0.43154472,1.0,0.5482032,0.14005142
cluster_4,0.4569282,0.31085974,0.5482032,1.0,0.38202944
cluster_5,0.21085557,0.07835845,0.14005142,0.38202944,1.0
