,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.65130484,0.5681613,0.28473482,0.25113165,0.9349117,0.62317103,0.48188022,0.15971923,0.12554373
bigrams_clusters:cluster_2,0.65130484,1.0,0.3508369,0.22876726,0.2703295,0.6136754,0.932673,0.2376733,0.080361865,0.13111548
bigrams_clusters:cluster_3,0.5681613,0.3508369,1.0,0.2155335,0.17206392,0.61311823,0.35270232,0.77529323,0.18747006,0.16804254
bigrams_clusters:cluster_4,0.28473482,0.22876726,0.2155335,1.0,0.68612736,0.28953564,0.25637266,0.2747778,0.2844259,0.512688
bigrams_clusters:cluster_5,0.25113165,0.2703295,0.17206392,0.68612736,1.0,0.25119856,0.25763503,0.20677549,0.25614932,0.5800237
visual_clusters:cluster_1,0.9349117,0.6136754,0.61311823,0.28953564,0.25119856,1.0,0.5991274,0.58209044,0.22960705,0.07607128
visual_clusters:cluster_2,0.62317103,0.932673,0.35270232,0.25637266,0.25763503,0.5991274,1.0,0.3093964,0.13429263,0.10569746
visual_clusters:cluster_3,0.48188022,0.2376733,0.77529323,0.2747778,0.20677549,0.58209044,0.3093964,1.0,0.48098737,0.12211096
visual_clusters:cluster_4,0.15971923,0.080361865,0.18747006,0.2844259,0.25614932,0.22960705,0.13429263,0.48098737,1.0,0.2744123
visual_clusters:cluster_5,0.12554373,0.13111548,0.16804254,0.512688,0.5800237,0.07607128,0.10569746,0.12211096,0.2744123,1.0
