,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.5416331,0.70335925,0.40425298,0.27788833,0.96736866,0.5210224,0.70457214,0.4192885,0.23045094
bigrams_clusters:cluster_2,0.5416331,1.0,0.5277353,0.4230437,0.26772767,0.5795305,0.89549315,0.54243547,0.40086544,0.3369456
bigrams_clusters:cluster_3,0.70335925,0.5277353,1.0,0.33790728,0.21099336,0.70637643,0.5060562,0.8738687,0.33259386,0.21783796
bigrams_clusters:cluster_4,0.40425298,0.4230437,0.33790728,1.0,0.64157426,0.42173535,0.42345077,0.33058262,0.49865964,0.6751767
bigrams_clusters:cluster_5,0.27788833,0.26772767,0.21099336,0.64157426,1.0,0.2833513,0.23824771,0.17411096,0.30780393,0.35755932
visual_clusters:cluster_1,0.96736866,0.5795305,0.70637643,0.42173535,0.2833513,1.0,0.55189675,0.72214353,0.4517546,0.26926348
visual_clusters:cluster_2,0.5210224,0.89549315,0.5060562,0.42345077,0.23824771,0.55189675,1.0,0.5225322,0.3849446,0.3799276
visual_clusters:cluster_3,0.70457214,0.54243547,0.8738687,0.33058262,0.17411096,0.72214353,0.5225322,1.0,0.4793944,0.22251475
visual_clusters:cluster_4,0.4192885,0.40086544,0.33259386,0.49865964,0.30780393,0.4517546,0.3849446,0.4793944,1.0,0.40656233
visual_clusters:cluster_5,0.23045094,0.3369456,0.21783796,0.6751767,0.35755932,0.26926348,0.3799276,0.22251475,0.40656233,1.0
