Cluster #,Centroid,Peak,Peak T-value,Extent,File Name
1,"[-61, -17, 1]","[-64, -12, -2]",12.19,870,cluster_1_sorted.nii
2,"[63, -11, 0]","[64, -4, -4]",11.25,618,cluster_2_sorted.nii
