,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.4588153,0.65415716,0.3024102,0.21646267,0.9685563,0.45309588,0.8243992,0.42831892,0.30155888
bigrams_clusters:cluster_2,0.4588153,1.0,0.43773925,0.30861703,0.18720736,0.47322407,0.89011145,0.4541951,0.27785844,0.21490306
bigrams_clusters:cluster_3,0.65415716,0.43773925,1.0,0.09643447,0.08095055,0.6030332,0.3168184,0.798146,0.17652485,0.05468886
bigrams_clusters:cluster_4,0.3024102,0.30861703,0.09643447,1.0,0.6238142,0.3497862,0.36653352,0.2080459,0.5011477,0.74156886
bigrams_clusters:cluster_5,0.21646267,0.18720736,0.08095055,0.6238142,1.0,0.2390923,0.25030643,0.17988782,0.29935265,0.56230235
visual_clusters:cluster_1,0.9685563,0.47322407,0.6030332,0.3497862,0.2390923,1.0,0.48520297,0.8099006,0.4749527,0.3312655
visual_clusters:cluster_2,0.45309588,0.89011145,0.3168184,0.36653352,0.25030643,0.48520297,1.0,0.42868456,0.34105682,0.30422008
visual_clusters:cluster_3,0.8243992,0.4541951,0.798146,0.2080459,0.17988782,0.8099006,0.42868456,1.0,0.48358133,0.17777874
visual_clusters:cluster_4,0.42831892,0.27785844,0.17652485,0.5011477,0.29935265,0.4749527,0.34105682,0.48358133,1.0,0.42225662
visual_clusters:cluster_5,0.30155888,0.21490306,0.05468886,0.74156886,0.56230235,0.3312655,0.30422008,0.17777874,0.42225662,1.0
