Cluster #,Centroid,Peak,Peak T-value,Extent
1,"[-53, 3, -16]","[-52, -10, -12]",9.05,848
2,"[2, -80, 6]","[16, -84, 6]",7.87,2226
3,"[-38, -42, -18]","[-40, -40, -18]",7.83,1333
4,"[54, -7, -15]","[52, -10, -14]",7.68,167
5,"[-50, -61, 20]","[-48, -66, 20]",7.15,373
6,"[-16, -52, 2]","[-16, -52, 4]",6.61,107
7,"[25, -25, -4]","[24, -26, -4]",6.51,23
8,"[47, 17, -17]","[50, 18, -14]",6.32,49
9,"[40, -22, 52]","[40, -24, 52]",6.29,29
10,"[-46, 32, -3]","[-46, 32, -2]",6.02,72
