Word,Syllables,Syllable Occurrence Counts,Bigrams,Bigram Occurrence Counts,Zipf
maand,"[""'mant""]",[4123.0],"['ma', 'aa', 'an', 'nd']","[957657.0, 2730922.0, 4143386.0, 2576478.0]",4.967862274834529
gewonde,"['x@', ""'wOn"", 'd@']","[587329.0, 4623.0, 515645.0]","['ge', 'ew', 'wo', 'on', 'nd', 'de']","[3692145.0, 587000.0, 933919.0, 2451854.0, 2576478.0, 2559661.0]",3.853812880656355
paragnost,"['pa', 'ra', ""'GnOst""]","[25763.0, 16503.0, 13.0]","['pa', 'ar', 'ra', 'ag', 'gn', 'no', 'os', 'st']","[319786.0, 1754491.0, 2220035.0, 400262.0, 43396.0, 847517.0, 588208.0, 2307098.0]",2.5016303625449927
vele,,[],"['ve', 'el', 'le']","[1767776.0, 4671207.0, 4397946.0]",4.6466490885986405
complicaties,,[],"['co', 'om', 'mp', 'pl', 'li', 'ic', 'ca', 'at', 'ti', 'ie', 'es']","[488809.0, 2473734.0, 51276.0, 97171.0, 3369152.0, 911860.0, 177266.0, 996808.0, 1353437.0, 2076673.0, 1784615.0]",3.4793539678338403
buurman,"[""'byr"", 'mAn']","[1077.0, 9903.0]","['bu', 'uu', 'ur', 'rm', 'ma', 'an']","[200521.0, 78760.0, 346154.0, 1049306.0, 957657.0, 4143386.0]",4.119678459257085
zus,"[""'z}s""]",[9739.0],"['zu', 'us']","[95553.0, 727825.0]",5.113732735324504
psychose,"['psi', ""'xo"", 'z@']","[2408.0, 4172.0, 133611.0]","['ps', 'sy', 'yc', 'ch', 'ho', 'os', 'se']","[133657.0, 156747.0, 108972.0, 1999086.0, 1237078.0, 588208.0, 763112.0]",3.1478940163650084
beter,"[""'be"", 't@r']","[63557.0, 199618.0]","['be', 'et', 'te', 'er']","[2443609.0, 1684914.0, 3522714.0, 6799370.0]",5.8355092698239055
keek,,[],"['ke', 'ee', 'ek']","[3143026.0, 944702.0, 762098.0]",4.866717028003142
broer,"[""'brur""]",[11774.0],"['br', 'ro', 'oe', 'er']","[191839.0, 1417238.0, 837795.0, 6799370.0]",5.386587474906236
grote,,[],"['gr', 'ro', 'ot', 'te']","[789301.0, 1417238.0, 1595020.0, 3522714.0]",5.682370486760436
takken,"[""'tA"", 'k@']","[887.0, 342563.0]","['ta', 'ak', 'kk', 'ke', 'en']","[892070.0, 762048.0, 65091.0, 3143026.0, 8542439.0]",3.5623282028986045
vuur,"[""'vyr""]",[6148.0],"['vu', 'uu', 'ur']","[1199264.0, 78760.0, 346154.0]",4.998856288843617
gebruikte,,[],"['ge', 'eb', 'br', 'ru', 'ui', 'ik', 'kt', 'te']","[3692145.0, 154238.0, 191839.0, 1082518.0, 687028.0, 157922.0, 179298.0, 3522714.0]",4.511748517264099
ervaren,"['Er', ""'va"", 'r@']","[84639.0, 40891.0, 255397.0]","['er', 'rv', 'va', 'ar', 're', 'en']","[6799370.0, 59129.0, 313419.0, 1754491.0, 1607974.0, 8542439.0]",4.106781430850097
agent,"['a', ""'GEnt""]","[26702.0, 9709.0]","['ag', 'ge', 'en', 'nt']","[400262.0, 3692145.0, 8542439.0, 1477178.0]",5.267192485620615
daar,"[""'dar""]",[131707.0],"['da', 'aa', 'ar']","[1096946.0, 2730922.0, 1754491.0]",6.39544362518237
liep,,[],"['li', 'ie', 'ep']","[3369152.0, 2076673.0, 189025.0]",4.849935225593153
toerist,"['tu', ""'rIst""]","[4425.0, 887.0]","['to', 'oe', 'er', 'ri', 'is', 'st']","[2236591.0, 837795.0, 6799370.0, 1787712.0, 3439538.0, 2307098.0]",3.5910307737743032
gered,,[],"['ge', 'er', 're', 'ed']","[3692145.0, 6799370.0, 1607974.0, 636500.0]",4.9727124214241885
makelaars,,[],"['ma', 'ak', 'ke', 'el', 'la', 'aa', 'ar', 'rs']","[957657.0, 762048.0, 3143026.0, 4671207.0, 2444604.0, 2730922.0, 1754491.0, 834594.0]",3.0958650163609986
nieuwe,,[],"['ni', 'ie', 'eu', 'uw', 'we']","[638298.0, 2076673.0, 135956.0, 98896.0, 1965886.0]",5.61091957267525
kopers,,[],"['ko', 'op', 'pe', 'er', 'rs']","[466342.0, 976321.0, 1062538.0, 6799370.0, 834594.0]",3.4694456791735915
gehaaid,"['x@', ""'hajt""]","[587329.0, 28.0]","['ge', 'eh', 'ha', 'aa', 'ai', 'id']","[3692145.0, 134898.0, 1299761.0, 2730922.0, 444826.0, 469631.0]",2.8179003247657106
lekker,"[""'lE"", 'k@r']","[19908.0, 83721.0]","['le', 'ek', 'kk', 'ke', 'er']","[4397946.0, 762098.0, 65091.0, 3143026.0, 6799370.0]",5.437461393167233
biertje,"[""'bir"", 'tj@']","[3941.0, 23965.0]","['bi', 'ie', 'er', 'rt', 'tj', 'je']","[743491.0, 2076673.0, 6799370.0, 1154116.0, 104770.0, 913788.0]",4.539341363923176
gemaakt,"['x@', ""'makt""]","[587329.0, 12513.0]","['ge', 'em', 'ma', 'aa', 'ak', 'kt']","[3692145.0, 924741.0, 957657.0, 2730922.0, 762048.0, 179298.0]",5.439935603653299
gerst,"[""'xErst""]",[22.0],"['ge', 'er', 'rs', 'st']","[3692145.0, 6799370.0, 834594.0, 2307098.0]",2.7172301628843476
eigenaar,"[""'K"", 'G@', 'nar']","[40313.0, 450488.0, 12085.0]","['ei', 'ig', 'ge', 'en', 'na', 'aa', 'ar']","[2483878.0, 960409.0, 3692145.0, 8542439.0, 523332.0, 2730922.0, 1754491.0]",4.5225241226570105
eerste,"[""'er"", 'st@']","[41532.0, 33054.0]","['ee', 'er', 'rs', 'st', 'te']","[944702.0, 6799370.0, 834594.0, 2307098.0, 3522714.0]",5.669769925495477
ontving,,[],"['on', 'nt', 'tv', 'vi', 'in', 'ng']","[2451854.0, 1477178.0, 32599.0, 226005.0, 2264626.0, 2927082.0]",3.5833890314804284
knipoogde,,[],"['kn', 'ni', 'ip', 'po', 'oo', 'og', 'gd', 'de']","[81592.0, 638298.0, 54132.0, 490468.0, 3901750.0, 285914.0, 109191.0, 2559661.0]",2.832623581586417
heerlijke,,[],"['he', 'ee', 'er', 'rl', 'li', 'ij', 'jk', 'ke']","[822995.0, 944702.0, 6799370.0, 344538.0, 3369152.0, 1639122.0, 518095.0, 3143026.0]",4.256960648262867
jam,"[""'jAm""]",[244.0],"['ja', 'am']","[1312625.0, 930317.0]",3.6998946005518656
verse,,[],"['ve', 'er', 'rs', 'se']","[1767776.0, 6799370.0, 834594.0, 763112.0]",4.049229275790402
bramen,,[],"['br', 'ra', 'am', 'me', 'en']","[191839.0, 2220035.0, 930317.0, 1659354.0, 8542439.0]",2.6979250076889607
maakt,,[],"['ma', 'aa', 'ak', 'kt']","[957657.0, 2730922.0, 762048.0, 179298.0]",5.731257361621979
verhuizen,"['v@r', ""'hL"", 'z@']","[457605.0, 5729.0, 133611.0]","['ve', 'er', 'rh', 'hu', 'ui', 'iz', 'ze', 'en']","[1767776.0, 6799370.0, 571432.0, 187605.0, 687028.0, 102177.0, 1671440.0, 8542439.0]",4.446113034695161
jonge,,[],"['jo', 'on', 'ng', 'ge']","[866375.0, 2451854.0, 2927082.0, 3692145.0]",4.889655401051817
dief,"[""'dif""]",[1901.0],"['di', 'ie', 'ef']","[1050254.0, 2076673.0, 169410.0]",4.473105018556839
vluchtte,,[],"['vl', 'lu', 'uc', 'ch', 'ht', 'tt', 'te']","[105784.0, 273011.0, 94927.0, 1999086.0, 373636.0, 519286.0, 3522714.0]",3.823849657278912
paspoort,"[""'pAs"", 'port']","[15997.0, 941.0]","['pa', 'as', 'sp', 'po', 'oo', 'or', 'rt']","[319786.0, 504791.0, 1518373.0, 490468.0, 3901750.0, 2597583.0, 1154116.0]",4.262375861588825
gestolen,,[],"['ge', 'es', 'st', 'to', 'ol', 'le', 'en']","[3692145.0, 1784615.0, 2307098.0, 2236591.0, 2233880.0, 4397946.0, 8542439.0]",4.9828681834594875
verkoper,"['v@r', ""'ko"", 'p@r']","[457605.0, 81557.0, 20167.0]","['ve', 'er', 'rk', 'ko', 'op', 'pe', 'er']","[1767776.0, 6799370.0, 2174749.0, 466342.0, 976321.0, 1062538.0, 6799370.0]",3.975638381840512
moderne,,[],"['mo', 'od', 'de', 'er', 'rn', 'ne']","[1055897.0, 193327.0, 2559661.0, 6799370.0, 503424.0, 1475977.0]",4.169083315434946
telefoon,"['te', 'l@', ""'fon""]","[23957.0, 393640.0, 7951.0]","['te', 'el', 'le', 'ef', 'fo', 'oo', 'on']","[3522714.0, 4671207.0, 4397946.0, 169410.0, 116642.0, 3901750.0, 2451854.0]",5.192016325757426
aanprees,,[],"['aa', 'an', 'np', 'pr', 're', 'ee', 'es']","[2730922.0, 4143386.0, 16967.0, 242781.0, 1607974.0, 944702.0, 1784615.0]",1.6565323225307358
verdiende,,[],"['ve', 'er', 'rd', 'di', 'ie', 'en', 'nd', 'de']","[1767776.0, 6799370.0, 823655.0, 1050254.0, 2076673.0, 8542439.0, 2576478.0, 2559661.0]",4.3281679191328655
orthopeed,"['Or', 'to', ""'pet""]","[3723.0, 39525.0, 207.0]","['or', 'rt', 'th', 'ho', 'op', 'pe', 'ee', 'ed']","[2597583.0, 1154116.0, 446916.0, 1237078.0, 976321.0, 1062538.0, 944702.0, 636500.0]",2.0544723312027733
blessure,"['blE', ""'sy"", 'r@']","[143.0, 1617.0, 255397.0]","['bl', 'le', 'es', 'ss', 'su', 'ur', 're']","[152155.0, 4397946.0, 1784615.0, 1070262.0, 38749.0, 346154.0, 1607974.0]",3.111377182539246
behandelt,,[],"['be', 'eh', 'ha', 'an', 'nd', 'de', 'el', 'lt']","[2443609.0, 134898.0, 1299761.0, 4143386.0, 2576478.0, 2559661.0, 4671207.0, 1858662.0]",4.1314766579961235
weinig,"[""'wK"", 'n@x']","[14518.0, 11388.0]","['we', 'ei', 'in', 'ni', 'ig']","[1965886.0, 2483878.0, 2264626.0, 638298.0, 960409.0]",5.039539364353274
benul,"['b@', ""'n}l""]","[395542.0, 912.0]","['be', 'en', 'nu', 'ul']","[2443609.0, 8542439.0, 53323.0, 1284792.0]",3.4660920371660033
secretaresse,"['se', 'kr@', 'ta', ""'rE"", 's@']","[10237.0, 1605.0, 11127.0, 15426.0, 84912.0]","['se', 'ec', 'cr', 're', 'et', 'ta', 'ar', 're', 'es', 'ss', 'se']","[763112.0, 411920.0, 70853.0, 1607974.0, 1684914.0, 892070.0, 1754491.0, 1607974.0, 1784615.0, 1070262.0, 763112.0]",4.135819639006906
geeft,,[],"['ge', 'ee', 'ef', 'ft']","[3692145.0, 944702.0, 169410.0, 179822.0]",5.516030880718512
advocaat,"['At', 'fo', ""'kat""]","[8152.0, 7300.0, 4823.0]","['ad', 'dv', 'vo', 'oc', 'ca', 'aa', 'at']","[474501.0, 10646.0, 2123358.0, 270017.0, 177266.0, 2730922.0, 996808.0]",5.008714840642098
mannelijke,,[],"['ma', 'an', 'nn', 'ne', 'el', 'li', 'ij', 'jk', 'ke']","[957657.0, 4143386.0, 746302.0, 1475977.0, 4671207.0, 3369152.0, 1639122.0, 518095.0, 3143026.0]",3.9465669338932536
beambte,"['b@', ""'Am"", 't@']","[395542.0, 1688.0, 603753.0]","['be', 'ea', 'am', 'mb', 'bt', 'te']","[2443609.0, 262246.0, 930317.0, 224723.0, 930.0, 3522714.0]",2.846864020701027
brief,"[""'brif""]",[3306.0],"['br', 'ri', 'ie', 'ef']","[191839.0, 1787712.0, 2076673.0, 169410.0]",4.8647048491978575
wijze,,[],"['wi', 'ij', 'jz', 'ze']","[658045.0, 1639122.0, 176535.0, 1671440.0]",4.397683921382521
oude,"[""'M"", 'd@']","[39262.0, 515645.0]","['ou', 'ud', 'de']","[846499.0, 671255.0, 2559661.0]",5.433015578364417
ieders,,[],"['ie', 'ed', 'de', 'er', 'rs']","[2076673.0, 636500.0, 2559661.0, 6799370.0, 834594.0]",3.7357135685783605
dromen,"[""'dro"", 'm@']","[4756.0, 227160.0]","['dr', 'ro', 'om', 'me', 'en']","[486140.0, 1417238.0, 2473734.0, 1659354.0, 8542439.0]",4.887619443115558
uitlegt,,[],"['ui', 'it', 'tl', 'le', 'eg', 'gt']","[687028.0, 333345.0, 314550.0, 4397946.0, 1125580.0, 21874.0]",3.253129418157196
komt,,[],"['ko', 'om', 'mt']","[466342.0, 2473734.0, 6305.0]",6.120760976468484
aardige,,[],"['aa', 'ar', 'rd', 'di', 'ig', 'ge']","[2730922.0, 1754491.0, 823655.0, 1050254.0, 960409.0, 3692145.0]",4.558535213881465
docent,"['do', ""'sEnt""]","[4608.0, 4691.0]","['do', 'oc', 'ce', 'en', 'nt']","[394555.0, 270017.0, 173200.0, 8542439.0, 1477178.0]",3.531593585922436
onderwijst,,[],"['on', 'nd', 'de', 'er', 'rw', 'wi', 'ij', 'js', 'st']","[2451854.0, 2576478.0, 2559661.0, 6799370.0, 34493.0, 658045.0, 1639122.0, 471745.0, 2307098.0]",2.6979250076889607
groene,,[],"['gr', 'ro', 'oe', 'en', 'ne']","[789301.0, 1417238.0, 837795.0, 8542439.0, 1475977.0]",4.4572494008131205
zijden,,[],"['zi', 'ij', 'jd', 'de', 'en']","[123482.0, 1639122.0, 163477.0, 2559661.0, 8542439.0]",3.7603360434866926
pyjama,,[],"['py', 'yj', 'ja', 'am', 'ma']","[9224.0, 10.0, 1312625.0, 930317.0, 957657.0]",3.7671220328299846
kast,,[],"['ka', 'as', 'st']","[424843.0, 504791.0, 2307098.0]",4.474428079692531
ligt,,[],"['li', 'ig', 'gt']","[3369152.0, 960409.0, 21874.0]",5.439219890765703
mag,,[],"['ma', 'ag']","[957657.0, 400262.0]",6.020839369112345
je,"[""'j@""]",[1600888.0],['je'],[913788.0],7.559863547381498
lenen,"[""'le"", 'n@']","[117121.0, 266696.0]","['le', 'en', 'ne', 'en']","[4397946.0, 8542439.0, 1475977.0, 8542439.0]",4.544711816449061
nichtje,,[],"['ni', 'ic', 'ch', 'ht', 'tj', 'je']","[638298.0, 911860.0, 1999086.0, 373636.0, 104770.0, 913788.0]",4.039449457618266
jaloers,"['ja', ""'lurs""]","[24436.0, 1900.0]","['ja', 'al', 'lo', 'oe', 'er', 'rs']","[1312625.0, 2558689.0, 1188135.0, 837795.0, 6799370.0, 834594.0]",4.628966599488101
dit,"[""'dIt""]",[206638.0],"['di', 'it']","[1050254.0, 333345.0]",6.6704581344442015
mooie,,[],"['mo', 'oo', 'oi', 'ie']","[1055897.0, 3901750.0, 1683244.0, 2076673.0]",5.405030449144473
potlood,"[""'pOt"", 'lot']","[6008.0, 324.0]","['po', 'ot', 'tl', 'lo', 'oo', 'od']","[490468.0, 1595020.0, 314550.0, 1188135.0, 3901750.0, 193327.0]",3.7339002278148925
ook,"[""'ok""]",[120822.0],"['oo', 'ok']","[3901750.0, 155024.0]",6.437518926093102
alleen,"['A', ""'len""]","[130421.0, 64708.0]","['al', 'll', 'le', 'ee', 'en']","[2558689.0, 2754440.0, 4397946.0, 944702.0, 8542439.0]",6.163375458870087
wilde,"[""'wIl"", 'd@']","[205752.0, 515645.0]","['wi', 'il', 'ld', 'de']","[658045.0, 2591190.0, 840998.0, 2559661.0]",5.8546255602709785
honden,,[],"['ho', 'on', 'nd', 'de', 'en']","[1237078.0, 2451854.0, 2576478.0, 2559661.0, 8542439.0]",4.706912078792193
mogen,"[""'mo"", 'G@']","[26854.0, 450488.0]","['mo', 'og', 'ge', 'en']","[1055897.0, 285914.0, 3692145.0, 8542439.0]",5.299145209618883
pitbulls,,[],"['pi', 'it', 'tb', 'bu', 'ul', 'll', 'ls']","[1566256.0, 333345.0, 118193.0, 200521.0, 1284792.0, 2754440.0, 114609.0]",2.531593585922436
echte,,[],"['ec', 'ch', 'ht', 'te']","[411920.0, 1999086.0, 373636.0, 3522714.0]",5.3527576166868585
taaie,"[""'ta"", 'j@']","[21065.0, 145311.0]","['ta', 'aa', 'ai', 'ie']","[892070.0, 2730922.0, 444826.0, 2076673.0]",3.5910307737743032
doorzet,,[],"['do', 'oo', 'or', 'rz', 'ze', 'et']","[394555.0, 3901750.0, 2597583.0, 85749.0, 1671440.0, 1684914.0]",2.89957037121703
plekje,,[],"['pl', 'le', 'ek', 'kj', 'je']","[97171.0, 4397946.0, 762098.0, 192716.0, 913788.0]",4.207982320503611
rij,,[],"['ri', 'ij']","[1787712.0, 1639122.0]",4.924993281215538
hondje,"[""'hOnt"", 'j@']","[7853.0, 145311.0]","['ho', 'on', 'nd', 'dj', 'je']","[1237078.0, 2451854.0, 2576478.0, 16143.0, 913788.0]",4.030363467604566
dikke,,[],"['di', 'ik', 'kk', 'ke']","[1050254.0, 157922.0, 65091.0, 3143026.0]",4.639029691728448
duiven,,[],"['du', 'ui', 'iv', 've', 'en']","[161799.0, 687028.0, 94073.0, 1767776.0, 8542439.0]",3.744668411231287
opjaagt,,[],"['op', 'pj', 'ja', 'aa', 'ag', 'gt']","[976321.0, 22580.0, 1312625.0, 2730922.0, 400262.0, 21874.0]",2.5859512482450286
wild,"[""'wIlt""]",[2159.0],"['wi', 'il', 'ld']","[658045.0, 2591190.0, 840998.0]",4.401607114112793
door,"[""'dor""]",[79895.0],"['do', 'oo', 'or']","[394555.0, 3901750.0, 2597583.0]",6.159355316750101
heel,"[""'hel""]",[46608.0],"['he', 'ee', 'el']","[822995.0, 944702.0, 4671207.0]",6.012806823434644
scherpe,,[],"['sc', 'ch', 'he', 'er', 'rp', 'pe']","[1079447.0, 1999086.0, 822995.0, 6799370.0, 40052.0, 1062538.0]",3.819395315852662
bochten,,[],"['bo', 'oc', 'ch', 'ht', 'te', 'en']","[1606593.0, 270017.0, 1999086.0, 373636.0, 3522714.0, 8542439.0]",3.2639873457454045
griekenland,,[],"['gr', 'ri', 'ie', 'ek', 'ke', 'en', 'nl', 'la', 'an', 'nd']","[789301.0, 1787712.0, 2076673.0, 762098.0, 3143026.0, 8542439.0, 49228.0, 2444604.0, 4143386.0, 2576478.0]",3.8369449553690593
voorkomen,"['vor', ""'ko"", 'm@']","[41977.0, 81557.0, 227160.0]","['vo', 'oo', 'or', 'rk', 'ko', 'om', 'me', 'en']","[2123358.0, 3901750.0, 2597583.0, 2174749.0, 466342.0, 2473734.0, 1659354.0, 8542439.0]",4.54611412468036
gebeuren,"['x@', ""'b|"", 'r@']","[587329.0, 9604.0, 255397.0]","['ge', 'eb', 'be', 'eu', 'ur', 're', 'en']","[3692145.0, 154238.0, 2443609.0, 135956.0, 346154.0, 1607974.0, 8542439.0]",5.293421229514535
ongelukken,,[],"['on', 'ng', 'ge', 'el', 'lu', 'uk', 'kk', 'ke', 'en']","[2451854.0, 2927082.0, 3692145.0, 4671207.0, 273011.0, 56724.0, 65091.0, 3143026.0, 8542439.0]",3.820885178315173
vrouw,"[""'vrMw""]",[45934.0],"['vr', 'ro', 'ou', 'uw']","[62231.0, 1417238.0, 846499.0, 98896.0]",5.910983717875752
prachtige,,[],"['pr', 'ra', 'ac', 'ch', 'ht', 'ti', 'ig', 'ge']","[242781.0, 2220035.0, 404620.0, 1999086.0, 373636.0, 1353437.0, 960409.0, 3692145.0]",4.776777118077101
tekeningen,,[],"['te', 'ek', 'ke', 'en', 'ni', 'in', 'ng', 'ge', 'en']","[3522714.0, 762098.0, 3143026.0, 8542439.0, 638298.0, 2264626.0, 2927082.0, 3692145.0, 8542439.0]",3.904505588892542
vanaf,"['vAn', ""'Af""]","[63011.0, 86276.0]","['va', 'an', 'na', 'af']","[313419.0, 4143386.0, 523332.0, 472535.0]",5.154083921595302
dinsdag,"[""'dInz"", 'dAx']","[1089.0, 16848.0]","['di', 'in', 'ns', 'sd', 'da', 'ag']","[1050254.0, 2264626.0, 612425.0, 52948.0, 1096946.0, 400262.0]",4.339579360769585
kunstacademie,"[""'k}nst"", 'a', 'ka', 'de', 'mi']","[2408.0, 26702.0, 21352.0, 14156.0, 15330.0]","['ku', 'un', 'ns', 'st', 'ta', 'ac', 'ca', 'ad', 'de', 'em', 'mi', 'ie']","[286858.0, 125750.0, 612425.0, 2307098.0, 892070.0, 404620.0, 177266.0, 474501.0, 2559661.0, 924741.0, 342154.0, 2076673.0]",3.1336535772503984
sonja,,[],"['so', 'on', 'nj', 'ja']","[369446.0, 2451854.0, 153193.0, 1312625.0]",3.42738433417288
verbaasd,"['v@r', ""'bast""]","[457605.0, 771.0]","['ve', 'er', 'rb', 'ba', 'aa', 'as', 'sd']","[1767776.0, 6799370.0, 87286.0, 584273.0, 2730922.0, 504791.0, 52948.0]",4.243119627202491
moeder,"[""'mu"", 'd@r']","[120218.0, 256202.0]","['mo', 'oe', 'ed', 'de', 'er']","[1055897.0, 837795.0, 636500.0, 2559661.0, 6799370.0]",5.81086498377304
overige,,[],"['ov', 've', 'er', 'ri', 'ig', 'ge']","[145547.0, 1767776.0, 6799370.0, 1787712.0, 960409.0, 3692145.0]",3.279781612928636
biscuitjes,,[],"['bi', 'is', 'sc', 'cu', 'ui', 'it', 'tj', 'je', 'es']","[743491.0, 3439538.0, 1079447.0, 27593.0, 687028.0, 333345.0, 104770.0, 913788.0, 1784615.0]",2.677721621600674
prullenbak,"[""'pr}"", 'l@', 'bAk']","[79.0, 393640.0, 1559.0]","['pr', 'ru', 'ul', 'll', 'le', 'en', 'nb', 'ba', 'ak']","[242781.0, 1082518.0, 1284792.0, 2754440.0, 4397946.0, 8542439.0, 79637.0, 584273.0, 762048.0]",3.1478940163650084
gooide,,[],"['go', 'oo', 'oi', 'id', 'de']","[147343.0, 3901750.0, 1683244.0, 469631.0, 2559661.0]",4.31358817538784
politieagent,"['po', ""'li"", 'tsi', 'a', 'GEnt']","[26918.0, 42609.0, 58762.0, 26702.0, 810.0]","['po', 'ol', 'li', 'it', 'ti', 'ie', 'ea', 'ag', 'ge', 'en', 'nt']","[490468.0, 2233880.0, 3369152.0, 333345.0, 1353437.0, 2076673.0, 262246.0, 400262.0, 3692145.0, 8542439.0, 1477178.0]",4.110614593261825
peetoom,"[""'pet"", 'om']","[207.0, 66.0]","['pe', 'ee', 'et', 'to', 'oo', 'om']","[1062538.0, 944702.0, 1684914.0, 2236591.0, 3901750.0, 2473734.0]",2.656532322530736
snelste,,[],"['sn', 'ne', 'el', 'ls', 'st', 'te']","[91698.0, 1475977.0, 4671207.0, 114609.0, 2307098.0, 3522714.0]",3.883132227738093
naakte,,[],"['na', 'aa', 'ak', 'kt', 'te']","[523332.0, 2730922.0, 762048.0, 179298.0, 3522714.0]",3.9057306799218487
gearresteerd,,[],"['ge', 'ea', 'ar', 'rr', 're', 'es', 'st', 'te', 'ee', 'er', 'rd']","[3692145.0, 262246.0, 1754491.0, 200692.0, 1607974.0, 1784615.0, 2307098.0, 3522714.0, 944702.0, 6799370.0, 823655.0]",4.608112667434128
reporter,"['r@', ""'pOr"", 't@r']","[255397.0, 1133.0, 199618.0]","['re', 'ep', 'po', 'or', 'rt', 'te', 'er']","[1607974.0, 189025.0, 490468.0, 2597583.0, 1154116.0, 3522714.0, 6799370.0]",3.5344792741599242
vermoeide,,[],"['ve', 'er', 'rm', 'mo', 'oe', 'ei', 'id', 'de']","[1767776.0, 6799370.0, 1049306.0, 1055897.0, 837795.0, 2483878.0, 469631.0, 2559661.0]",3.20676067558583
ballerina,"['bA', 'l@', ""'ri"", 'na']","[4557.0, 393640.0, 8116.0, 56112.0]","['ba', 'al', 'll', 'le', 'er', 'ri', 'in', 'na']","[584273.0, 2558689.0, 2754440.0, 4397946.0, 6799370.0, 1787712.0, 2264626.0, 523332.0]",3.3048923335116673
extra,"[""'Ek"", 'stra']","[2690.0, 3498.0]","['ex', 'xt', 'tr', 'ra']","[248636.0, 7953.0, 1199332.0, 2220035.0]",4.778748200803562
vraagt,,[],"['vr', 'ra', 'aa', 'ag', 'gt']","[62231.0, 2220035.0, 2730922.0, 400262.0, 21874.0]",5.010063881608498
kansloos,"[""'kAns"", 'los']","[11704.0, 7318.0]","['ka', 'an', 'ns', 'sl', 'lo', 'oo', 'os']","[424843.0, 4143386.0, 612425.0, 1064500.0, 1188135.0, 3901750.0, 588208.0]",3.4593060478227113
beroemdheid,"['b@', ""'rumt"", 'hKt']","[395542.0, 1257.0, 47042.0]","['be', 'er', 'ro', 'oe', 'em', 'md', 'dh', 'he', 'ei', 'id']","[2443609.0, 6799370.0, 1417238.0, 837795.0, 924741.0, 10432.0, 6927.0, 822995.0, 2483878.0, 469631.0]",3.6273439334032536
wegstuurt,,[],"['we', 'eg', 'gs', 'st', 'tu', 'uu', 'ur', 'rt']","[1965886.0, 1125580.0, 1154969.0, 2307098.0, 118674.0, 78760.0, 346154.0, 1154116.0]",2.753442335538792
wachtende,,[],"['wa', 'ac', 'ch', 'ht', 'te', 'en', 'nd', 'de']","[409327.0, 404620.0, 1999086.0, 373636.0, 3522714.0, 8542439.0, 2576478.0, 2559661.0]",2.753442335538792
woord,"[""'wort""]",[6082.0],"['wo', 'oo', 'or', 'rd']","[933919.0, 3901750.0, 2597583.0, 823655.0]",5.1072432006776545
staan,"[""'stan""]",[23670.0],"['st', 'ta', 'aa', 'an']","[2307098.0, 892070.0, 2730922.0, 4143386.0]",5.621357440414124
clown,"[""'klMn""]",[510.0],"['cl', 'lo', 'ow', 'wn']","[78537.0, 1188135.0, 48010.0, 7085.0]",4.063923227001467
zonnige,,[],"['zo', 'on', 'nn', 'ni', 'ig', 'ge']","[40239.0, 2451854.0, 746302.0, 638298.0, 960409.0, 3692145.0]",3.5910307737743032
terras,"['tE', ""'rAs""]","[3236.0, 1377.0]","['te', 'er', 'rr', 'ra', 'as']","[3522714.0, 6799370.0, 200692.0, 2220035.0, 504791.0]",3.504721439522134
wraak,"[""'wrak""]",[2004.0],"['wr', 'ra', 'aa', 'ak']","[15378.0, 2220035.0, 2730922.0, 762048.0]",4.64015860965527
auto,"[""'M"", 'to']","[39262.0, 39525.0]","['au', 'ut', 'to']","[611780.0, 137082.0, 2236591.0]",5.657161593418276
passende,,[],"['pa', 'as', 'ss', 'se', 'en', 'nd', 'de']","[319786.0, 504791.0, 1070262.0, 763112.0, 8542439.0, 2576478.0, 2559661.0]",3.253129418157196
trekhaak,"[""'trEk"", 'hak']","[2373.0, 39.0]","['tr', 're', 'ek', 'kh', 'ha', 'aa', 'ak']","[1199332.0, 1607974.0, 762098.0, 9729.0, 1299761.0, 2730922.0, 762048.0]",1.6565323225307358
propellor,,[],"['pr', 'ro', 'op', 'pe', 'el', 'll', 'lo', 'or']","[242781.0, 1417238.0, 976321.0, 1062538.0, 4671207.0, 2754440.0, 1188135.0, 2597583.0]",1.6565323225307358
besteld,,[],"['be', 'es', 'st', 'te', 'el', 'ld']","[2443609.0, 1784615.0, 2307098.0, 3522714.0, 4671207.0, 840998.0]",4.2475969295572344
mechanicus,"['me', ""'xa"", 'ni', 'k}s']","[17751.0, 3308.0, 18731.0, 2025.0]","['me', 'ec', 'ch', 'ha', 'an', 'ni', 'ic', 'cu', 'us']","[1659354.0, 411920.0, 1999086.0, 1299761.0, 4143386.0, 638298.0, 911860.0, 27593.0, 727825.0]",2.3097448363060797
rood,"[""'rot""]",[2230.0],"['ro', 'oo', 'od']","[1417238.0, 3901750.0, 193327.0]",4.683065587054033
verzorgt,,[],"['ve', 'er', 'rz', 'zo', 'or', 'rg', 'gt']","[1767776.0, 6799370.0, 85749.0, 40239.0, 2597583.0, 709881.0, 21874.0]",3.5077906712498113
last,"[""'lAst""]",[2802.0],"['la', 'as', 'st']","[2444604.0, 504791.0, 2307098.0]",4.724718184276897
ontstoken,"['Ont', ""'sto"", 'k@']","[30288.0, 2486.0, 342563.0]","['on', 'nt', 'ts', 'st', 'to', 'ok', 'ke', 'en']","[2451854.0, 1477178.0, 235160.0, 2307098.0, 2236591.0, 155024.0, 3143026.0, 8542439.0]",3.337773559906323
