Word,Syllables,Syllable Occurrence Counts,Bigrams,Bigram Occurrence Counts,Zipf
behandelde,,[],"['be', 'eh', 'ha', 'an', 'nd', 'de', 'el', 'ld', 'de']","[2443609.0, 134898.0, 1299761.0, 4143386.0, 2576478.0, 2559661.0, 4671207.0, 840998.0, 2559661.0]",3.76204250730071
uitslag,"[""'Lt"", 'slAx']","[187852.0, 4189.0]","['ui', 'it', 'ts', 'sl', 'la', 'ag']","[687028.0, 333345.0, 235160.0, 1064500.0, 2444604.0, 400262.0]",4.0756616302727116
maandag,"[""'man"", 'dAx']","[3827.0, 16848.0]","['ma', 'aa', 'an', 'nd', 'da', 'ag']","[957657.0, 2730922.0, 4143386.0, 2576478.0, 1096946.0, 400262.0]",4.487762016397799
medicus,"[""'me"", 'di', 'k}s']","[93593.0, 34759.0, 2025.0]","['me', 'ed', 'di', 'ic', 'cu', 'us']","[1659354.0, 636500.0, 1050254.0, 911860.0, 27593.0, 727825.0]",2.786866091025742
vreemde,"[""'vrem"", 'd@']","[3262.0, 515645.0]","['vr', 're', 'ee', 'em', 'md', 'de']","[62231.0, 1607974.0, 944702.0, 924741.0, 10432.0, 2559661.0]",4.789591965284645
pokken,"[""'pO"", 'k@']","[1410.0, 342563.0]","['po', 'ok', 'kk', 'ke', 'en']","[490468.0, 155024.0, 65091.0, 3143026.0, 8542439.0]",3.2188251869872104
zelf,"[""'zElf""]",[47618.0],"['ze', 'el', 'lf']","[1671440.0, 4671207.0, 34029.0]",5.637239998573673
laatst,"[""'latst""]",[2654.0],"['la', 'aa', 'at', 'ts', 'st']","[2444604.0, 2730922.0, 996808.0, 235160.0, 2307098.0]",4.7780921667182366
gevreesde,,[],"['ge', 'ev', 'vr', 're', 'ee', 'es', 'sd', 'de']","[3692145.0, 317289.0, 62231.0, 1607974.0, 944702.0, 1784615.0, 52948.0, 2559661.0]",3.2745804192428283
psychiater,"['psi', 'xi', ""'ja"", 't@r']","[2408.0, 3921.0, 158055.0, 199618.0]","['ps', 'sy', 'yc', 'ch', 'hi', 'ia', 'at', 'te', 'er']","[133657.0, 156747.0, 108972.0, 1999086.0, 484018.0, 112581.0, 996808.0, 3522714.0, 6799370.0]",4.291513122581964
verslaafde,"['v@r', ""'slav"", 'd@']","[457605.0, 185.0, 515645.0]","['ve', 'er', 'rs', 'sl', 'la', 'aa', 'af', 'fd', 'de']","[1767776.0, 6799370.0, 834594.0, 1064500.0, 2444604.0, 2730922.0, 472535.0, 81902.0, 2559661.0]",3.625015271084671
zijn,"[""'zKn""]",[349215.0],"['zi', 'ij', 'jn']","[123482.0, 1639122.0, 79695.0]",6.897639056623649
