,Word,IPA,Syllables,Min_Freq_Count,Max_Freq_Count,Mean_Freq_Count
83,vertrokken,vərtrˈɔkən,vər - trɔ - kən,9537,374698,148564.33333333334
84,joost,jˈoːst,joːst,27,27,27.0
85,opende,ˈoːpəndə,oː - pən - də,23008,208410,137047.33333333334
86,vrienden,vrˈindən,vrin - dən,417,7143,3780.0
87,zuster,zˈɵstər,zɵ - stər,3556,33263,18409.5
88,auto,ˈʌʊtoː,ʌʊ - toː,24454,102068,63261.0
89,geeft,ɣˈeːft,ɣeːft,1300,1300,1300.0
90,aantal,ˈaːntˌɑl,aːn - tɑl,1756,3808,2782.0
91,knullig,knˈɵləx,knɵ - ləx,1575,2965,2270.0
92,kraker,krˈaːkər,kraː - kər,2848,4157,3502.5
93,dienaren,dˈinaːrən,di - naː - rən,6659,441857,191100.33333333334
94,gekomen,ɣəkˈoːmən,ɣə - koː - mən,64130,805074,360886.6666666667
95,koorts,kˈɔːrts,kɔːrts,802,802,802.0
96,vakkundige,vɑkˈɵndəɣə,vɑ - kɵn - də - ɣə,54599,805074,282701.25
97,zag,zˈɑx,zɑx,321,321,321.0
98,lelijk,lˈeːlək,leː - lək,2224,46433,24328.5
99,dorien,doːrˈin,doː - rin,205,8000,4102.5
100,probleem,prɔblˈeːm,prɔ - bleːm,16087,28461,22274.0
101,barones,baːrˈoːnəs,baː - roː - nəs,3783,32298,16831.666666666668
102,natuur,naːtˈyr,naː - tyr,51024,124785,87904.5
103,tuin,tˈœyn,tœyn,129,129,129.0
104,twintig,tʋˈɪntəx,tʋɪn - təx,2341,2674,2507.5
105,erg,ˈɛrx,ɛrx,39634,39634,39634.0
106,oudere,ˈʌʊdərə,ʌʊ - də - rə,24454,428756,220540.0
107,verliezen,vərlˈizən,vər - li - zən,61458,111845,79340.0
108,tanden,tˈɑndən,tɑn - dən,1202,7143,4172.5
109,duizend,dˈœyzənt,dœy - zənt,77,3229,1653.0
110,willen,ʋˈɪlən,ʋɪ - lən,9057,285422,147239.5
111,bevat,bəvˈɑt,bə - vɑt,2023,21023,11523.0
112,loodgieter,loːdɣˈitər,loːd - ɣi - tər,497,28640,15137.666666666666
113,frontale,frɔntˈaːlə,frɔn - taː - lə,1014,855914,306695.0
114,privacy,prˈivaːsˌi,pri - vaː - si,17453,88297,51319.333333333336
115,ideale,ˌideːjˈaːlə,i - deː - jaː - lə,3110,3606231,1120480.0
116,baas,bˈaːs,baːs,9597,9597,9597.0
117,geld,ɣˈɛlt,ɣɛlt,700,700,700.0
118,verjaardag,vərjˈaːrdˌɑx,vər - jaːr - dɑx,5091,61458,35567.666666666664
119,zieke,zˈikə,zi - kə,32329,671009,351669.0
120,gezin,ɣəzˈɪn,ɣə - zɪn,20582,805074,412828.0
121,hevige,hˈeːvəɣə,heː - və - ɣə,28168,805074,384356.3333333333
122,jongens,jˈɔŋəns,jɔŋ - əns,21549,46187,33868.0
123,en,ˈɛn,ɛn,1277075,1277075,1277075.0
124,plein,plˈɛɪn,plɛɪn,460,460,460.0
125,dreef,drˈeːf,dreːf,128,128,128.0
126,liep,lˈip,lip,4,4,4.0
127,dressoir,drɛsʋˈaːr,drɛs - ʋaːr,2873,37959,20416.0
128,tienjarig,tiɲˈaːrəx,tiɲ - aː - rəx,104,1385476,462138.6666666667
129,kookt,kˈoːkt,koːkt,341,341,341.0
130,mannelijke,mˈɑnələkə,mɑ - nə - lə - kə,39948,855914,403316.0
131,percentage,pˌɛrsəntˈaːʒə,pɛr - sən - taː - ʒə,8546,125869,58539.25
132,schone,sxˈoːnə,sxoː - nə,34347,39948,37147.5
133,schrijnende,sxrˈɛɪnəndə,sxrɛɪ - nən - də,5846,257062,157106.0
134,hollandse,hˈɔlɑndsə,hɔ - lɑnd - sə,1031,23463,9789.0
135,kippen,kˈɪpən,kɪ - pən,749,179724,90236.5
136,choreograaf,xˌoːrəɔɣrˈaːf,xoː - rə - ɔ - ɣraːf,1530,428756,111860.75
137,manke,mˈɑŋkə,mɑŋ - kə,77,671009,335543.0
138,kokosnoten,kˌoːkɔsnˈoːtən,koː - kɔ - snoː - tən,1130,64130,20135.75
139,weeft,ʋˈeːft,ʋeːft,13,13,13.0
140,bezocht,bəzˈɔxt,bə - zɔxt,4488,21023,12755.5
141,getal,ɣətˈɑl,ɣə - tɑl,3808,805074,404441.0
142,babies,baːbˈis,baː - bis,2,14414,7208.0
143,voorstelling,vˈɔːrstɛlˌɪŋ,vɔːr - stɛ - lɪŋ,13766,64424,34477.666666666664
144,sprak,sprˈɑk,sprɑk,168,168,168.0
145,vliegende,vlˈiɣəndə,vli - ɣən - də,15942,444799,223050.33333333334
146,draait,drˈaːjt,draːjt,1178,1178,1178.0
147,vannacht,vɑnnˈɑxt,vɑn - nɑxt,62,41161,20611.5
148,heerlijke,hˈɪːrləkə,hɪːr - lə - kə,9933,855914,512285.3333333333
149,dagen,dˈaːɣən,daː - ɣən,15995,444799,230397.0
150,prullenbak,prˈɵlənbˌɑk,prɵ - lən - bɑk,253,285422,95727.33333333333
151,margriet,mɑrɣrˈit,mɑr - ɣrit,34,2570,1302.0
152,buikpijn,bœykpˈɛɪn,bœyk - pɛɪn,404,14653,7528.5
153,kreeg,krˈeːx,kreːx,55,55,55.0
154,nederlandse,nˈeːdərlˌɑndsə,neː - dər - lɑnd - sə,1031,50286,26686.75
155,mannen,mˈɑnən,mɑ - nən,46393,257062,151727.5
156,papier,paːpˈir,paː - pir,514,39874,20194.0
157,dat,dˈɑt,dɑt,59907,59907,59907.0
158,onhandige,ɔnhˈɑndəɣə,ɔnh - ɑn - də - ɣə,849,1517022,632838.75
159,acht,ˈɑxt,ɑxt,806,806,806.0
160,voorkeur,vˈɔːrkˌøːr,vɔːr - køːr,155,64424,32289.5
161,trouwe,trˈʌʊə,trʌʊ - ə,22229,2281166,1151697.5
