onset	duration	volume	type	value
1037.456	n/a	519.728	Picture	blank
1038	n/a	520	Pulse	50
1039.474	n/a	520.737	Picture	FIX 3880
1040	n/a	521	Pulse	50
1041.366	n/a	521.683	Sound	14 Start File 347.wav
1041.436	n/a	521.718	Nothing	5 Audio onset
1042	n/a	522	Pulse	50
1044	n/a	523	Pulse	50
1045.438	n/a	523.719	Nothing	6 Target
1046	n/a	524	Pulse	50
1047.354	n/a	524.677	Nothing	15 End of file
1047.374	n/a	524.687	Picture	blank
1048	n/a	525	Pulse	50
1049.39	n/a	525.695	Picture	FIX 3685
1050	n/a	526	Pulse	50
1051.076	n/a	526.538	Sound	14 Start File 251.wav
1051.12	n/a	526.56	Nothing	5 Audio onset
1052	n/a	527	Pulse	50
1052.024	n/a	527.012	Nothing	6 Target
1054	n/a	528	Pulse	50
1054.874	n/a	528.437	Nothing	15 End of file
1055.19	n/a	528.595	Picture	WOORDEN
1056	n/a	529	Pulse	50
1056.906	n/a	529.453	Picture	blank
1058	n/a	530	Pulse	50
1058.922	n/a	530.461	Picture	FIX 3681
1060	n/a	531	Pulse	50
1060.612	n/a	531.306	Sound	14 Start File 577.wav
1060.674	n/a	531.337	Nothing	3 Audio onset
1062	n/a	532	Pulse	50
1064	n/a	533	Pulse	50
1066	n/a	534	Pulse	50
1066.126	n/a	534.063	Nothing	4 Target
1068	n/a	535	Pulse	50
1068.792	n/a	535.396	Nothing	15 End of file
1068.822	n/a	535.411	Picture	blank
1070	n/a	536	Pulse	50
1070.838	n/a	536.419	Picture	FIX 3955
1072	n/a	537	Pulse	50
1072.8	n/a	537.4	Sound	14 Start File 592.wav
1072.87	n/a	537.435	Nothing	3 Audio onset
1074	n/a	538	Pulse	50
1074.696	n/a	538.348	Nothing	4 Target
1076	n/a	539	Pulse	50
1078	n/a	540	Pulse	50
1080	n/a	541	Pulse	50
1080.472	n/a	541.236	Nothing	15 End of file
1080.504	n/a	541.252	Picture	blank
1082	n/a	542	Pulse	50
1082.522	n/a	542.261	Picture	FIX 3439
1083.966	n/a	542.983	Sound	14 Start File 882.wav
1083.988	n/a	542.994	Nothing	7 Audio onset
1084	n/a	543	Pulse	50
1085.702	n/a	543.851	Nothing	8 Target
1086	n/a	544	Pulse	50
1088	n/a	545	Pulse	50
1090	n/a	546	Pulse	50
1091.818	n/a	546.909	Nothing	15 End of file
1091.838	n/a	546.919	Picture	blank
1092	n/a	547	Pulse	50
1093.854	n/a	547.927	Picture	FIX 3550
1094	n/a	548	Pulse	50
1095.41	n/a	548.705	Sound	14 Start File 561.wav
1095.474	n/a	548.737	Nothing	3 Audio onset
1096	n/a	549	Pulse	50
1098	n/a	550	Pulse	50
1100	n/a	551	Pulse	50
1100.998	n/a	551.499	Nothing	4 Target
1102	n/a	552	Pulse	50
1102.718	n/a	552.359	Nothing	15 End of file
1103.668	n/a	552.834	Picture	QUESTION 561
1104	n/a	553	Pulse	50
1104.814	n/a	553.407	Response	1
1104.836	n/a	553.418	Picture	blank
1106	n/a	554	Pulse	50
1106.854	n/a	554.427	Picture	FIX 4139
1108	n/a	555	Pulse	50
1109.002	n/a	555.501	Sound	14 Start File 671.wav
1109.07	n/a	555.535	Nothing	3 Audio onset
1110	n/a	556	Pulse	50
1111.352	n/a	556.676	Nothing	4 Target
1112	n/a	557	Pulse	50
1114	n/a	558	Pulse	50
1115.746	n/a	558.873	Nothing	15 End of file
1116	n/a	559	Pulse	50
1116.07	n/a	559.035	Picture	ZINNEN
1117.786	n/a	559.893	Picture	blank
1118	n/a	560	Pulse	50
1119.802	n/a	560.901	Picture	FIX 3348
1120	n/a	561	Pulse	50
1121.154	n/a	561.577	Sound	14 Start File 292.wav
1121.212	n/a	561.606	Nothing	5 Audio onset
1122	n/a	562	Pulse	50
1124	n/a	563	Pulse	50
1124.064	n/a	563.032	Nothing	6 Target
1125.672	n/a	563.836	Nothing	15 End of file
1125.686	n/a	563.843	Picture	blank
1126	n/a	564	Pulse	50
1127.702	n/a	564.851	Picture	FIX 3860
1128	n/a	565	Pulse	50
1129.56	n/a	565.78	Sound	14 Start File 021.wav
1129.634	n/a	565.817	Nothing	1 Audio onset
1130	n/a	566	Pulse	50
1132	n/a	567	Pulse	50
1132.292	n/a	567.146	Nothing	2 Target
1134	n/a	568	Pulse	50
1134.156	n/a	568.078	Nothing	15 End of file
1134.186	n/a	568.093	Picture	blank
1136	n/a	569	Pulse	50
1136.202	n/a	569.101	Picture	FIX 4159
1138	n/a	570	Pulse	50
1138.362	n/a	570.181	Sound	14 Start File 128.wav
1138.41	n/a	570.205	Nothing	1 Audio onset
1140	n/a	571	Pulse	50
1141.034	n/a	571.517	Nothing	2 Target
1141.92	n/a	571.96	Nothing	15 End of file
1142	n/a	572	Pulse	50
1142.534	n/a	572.267	Picture	QUESTION 128
1143.47	n/a	572.735	Response	1
1143.484	n/a	572.742	Picture	blank
1144	n/a	573	Pulse	50
1145.502	n/a	573.751	Picture	FIX 4126
1146	n/a	574	Pulse	50
1147.638	n/a	574.819	Sound	14 Start File 037.wav
1147.7	n/a	574.85	Nothing	1 Audio onset
1148	n/a	575	Pulse	50
1150	n/a	576	Pulse	50
1150.146	n/a	576.073	Nothing	2 Target
1152	n/a	577	Pulse	50
1152.206	n/a	577.103	Nothing	15 End of file
1152.234	n/a	577.117	Picture	blank
1154	n/a	578	Pulse	50
1154.25	n/a	578.125	Picture	FIX 3437
1155.69	n/a	578.845	Sound	14 Start File 315.wav
1155.706	n/a	578.853	Nothing	5 Audio onset
1156	n/a	579	Pulse	50
1157.784	n/a	579.892	Nothing	6 Target
1158	n/a	580	Pulse	50
1160	n/a	581	Pulse	50
1160.684	n/a	581.342	Nothing	15 End of file
1161.318	n/a	581.659	Picture	QUESTION 315
1162	n/a	582	Pulse	50
1164	n/a	583	Pulse	50
1164.278	n/a	583.139	Response	2
1164.6	n/a	583.3	Picture	WOORDEN
1166	n/a	584	Pulse	50
1166.316	n/a	584.158	Picture	blank
1168	n/a	585	Pulse	50
1168.334	n/a	585.167	Picture	FIX 3632
1169.98	n/a	585.99	Sound	14 Start File 654.wav
1170	n/a	586	Pulse	50
1170.316	n/a	586.158	Nothing	3 Audio onset
1171.392	n/a	586.696	Nothing	4 Target
1172	n/a	587	Pulse	50
1174	n/a	588	Pulse	50
1176	n/a	589	Pulse	50
1178	n/a	590	Pulse	50
1179.594	n/a	590.797	Nothing	15 End of file
1180	n/a	591	Pulse	50
1180.566	n/a	591.283	Picture	QUESTION 654
1182	n/a	592	Pulse	50
1183.086	n/a	592.543	Response	1
1183.1	n/a	592.55	Picture	blank
1184	n/a	593	Pulse	50
1185.116	n/a	593.558	Picture	FIX 3503
1186	n/a	594	Pulse	50
1186.628	n/a	594.314	Sound	14 Start File 891.wav
1186.688	n/a	594.344	Nothing	7 Audio onset
1188	n/a	595	Pulse	50
1190	n/a	596	Pulse	50
1190.602	n/a	596.301	Nothing	8 Target
1192	n/a	597	Pulse	50
1194	n/a	598	Pulse	50
1196	n/a	599	Pulse	50
1196.234	n/a	599.117	Nothing	15 End of file
1196.266	n/a	599.133	Picture	blank
1198	n/a	600	Pulse	50
1198.282	n/a	600.141	Picture	FIX 3859
1200	n/a	601	Pulse	50
1200.158	n/a	601.079	Sound	14 Start File 806.wav
1200.316	n/a	601.158	Nothing	7 Audio onset
